,Дата,Добыча воды за 2ч,Показания влагомера
100,2022-01-09 08:00:00,0.37120200000000025,0.15
101,2022-01-09 10:00:00,0.3478439999999997,0.18
102,2022-01-09 12:00:00,0.372678,0.19
103,2022-01-09 14:00:00,0.3349920000000003,0.22
104,2022-01-09 16:00:00,0.3477359999999998,0.2
105,2022-01-09 18:00:00,0.35581200000000046,0.2
106,2022-01-09 20:00:00,0.36274799999999935,0.19
107,2022-01-09 22:00:00,0.355974,0.19
108,2022-01-10 00:00:00,0.356478,0.18
109,2022-01-10 02:00:00,0.4175009999999996,0.18
110,2022-01-10 04:00:00,0.4230800000000005,0.16
111,2022-01-10 06:00:00,0.41108899999999976,0.14
112,2022-01-10 08:00:00,0.4210219999999999,0.15
113,2022-01-10 10:00:00,0.417347,0.15
114,2022-01-10 12:00:00,0.41880300000000004,0.15
115,2022-01-10 14:00:00,0.41346199999999983,0.15
116,2022-01-10 16:00:00,0.415989,0.15
117,2022-01-10 18:00:00,0.4133919999999998,0.18
118,2022-01-10 20:00:00,0.43320200000000014,0.19
119,2022-01-10 22:00:00,0.13876099999999986,0.17
120,2022-01-11 00:00:00,0.40045600000000015,0.13
121,2022-01-11 02:00:00,0.6944535000000002,0.18
122,2022-01-11 04:00:00,0.6979517999999996,0.15
123,2022-01-11 06:00:00,0.6984431999999998,0.19
124,2022-01-11 08:00:00,0.6832215000000004,0.19
125,2022-01-11 10:00:00,0.6678008999999999,0.19
126,2022-01-11 12:00:00,0.6458517000000004,0.15
127,2022-01-11 14:00:00,0.7037900999999998,0.15
128,2022-01-11 16:00:00,0.6753473999999997,0.15
129,2022-01-11 18:00:00,0.6815484000000002,0.15
130,2022-01-11 20:00:00,0.6674732999999997,0.14
131,2022-01-11 22:00:00,0.6557148000000004,0.15
132,2022-01-12 00:00:00,0.40045600000000015,0.13
133,2022-01-12 02:00:00,0.3959340000000003,0.16
134,2022-01-12 04:00:00,0.41416199999999975,0.15
135,2022-01-12 06:00:00,0.40458599999999995,0.17
136,2022-01-12 08:00:00,0.42797299999999994,0.15
137,2022-01-12 10:00:00,0.40891199999999983,0.15
138,2022-01-12 12:00:00,0.4002320000000001,0.15
139,2022-01-12 14:00:00,0.40892599999999996,0.15
140,2022-01-12 16:00:00,0.40566399999999986,0.15
141,2022-01-12 18:00:00,0.38199000000000033,0.19
142,2022-01-12 20:00:00,0.39727799999999935,0.18
143,2022-01-12 22:00:00,0.40942300000000054,0.16
144,2022-01-13 00:00:00,0.40045600000000015,0.13
145,2022-01-13 02:00:00,0.5081399999999997,0.18
146,2022-01-13 04:00:00,0.5291730000000004,0.18
147,2022-01-13 06:00:00,0.5189220000000001,0.19
148,2022-01-13 08:00:00,0.5229270000000003,0.18
149,2022-01-13 10:00:00,0.5235749999999996,0.18
150,2022-01-13 12:00:00,0.5020019999999996,0.18
151,2022-01-13 14:00:00,0.5285519999999999,0.18
152,2022-01-13 16:00:00,0.5357700000000003,0.18
153,2022-01-13 18:00:00,0.5303250000000006,0.16
154,2022-01-13 20:00:00,0.514854,0.14
155,2022-01-13 22:00:00,0.5238179999999995,0.15
156,2022-01-15 00:00:00,0.40045600000000015,0.13
157,2022-01-15 02:00:00,0.7051920000000003,0.14
158,2022-01-15 04:00:00,0.7054919999999996,0.15
159,2022-01-15 06:00:00,0.6940559999999995,0.17
