Date,BlockP,BlockT,C1P,C1T,C1L,C2P,C2T,C2interfacial_L,С2petrol_L,OH_T,OH_interfacial_L,OH_P,C3T,C3L,P1Tinput,P1Toutput,P1Pinput,P1Poutput,P1Тcoolant,P1Tgases,P1Рburner,P2Tinput,P2Toutput,P2Pinput,P2Poutput,P2Tcoolant,P2Tgases,P2Pburner,Water,Vlagomer,BEV1L,BEV1V_water,BEV1V_petrol,BEV1T_water
2022-01-02 06:00:00,0.3913043,0.0,0.4117648,0.12499997,0.25210083,0.6122449,0.9285714,0.39999995,0.4,0.25,1.0,0.6153846,1.0,0.33333337,0.33678758,0.93097925,0.55,0.62,0.40789473,0.9413284,0.99999994,0.33591732,0.9104477,0.57894737,0.632653,0.507365,0.47142863,1.0,0.13630071,0.14,,,,
2022-01-02 08:00:00,0.3913043,0.0,0.29411763,0.12499997,0.25210083,0.6122449,0.9285714,0.39999995,0.4,0.25,1.0,0.6153846,1.0,0.33333337,0.33678758,0.93097925,0.55,0.62,0.40789473,0.5114391,0.99999994,0.33591732,0.9104477,0.57894737,0.632653,0.507365,0.8992481,1.0,0.13796955,0.15,,,,
2022-01-02 10:00:00,0.3913043,0.0,0.29411763,0.12499997,0.25210083,0.6122449,0.9285714,0.39999995,0.4,0.25,1.0,0.6153846,1.0,0.33333337,0.33678758,0.93097925,0.55,0.62,0.40789473,0.5114391,0.99999994,0.33591732,0.9104477,0.57894737,0.632653,0.507365,0.8992481,1.0,0.1334374,0.15,,,,
2022-01-02 12:00:00,0.3913043,0.0,0.29411763,0.12499997,0.25210083,0.6122449,0.9285714,0.39999995,0.4,0.25,1.0,0.6153846,1.0,0.33333337,0.33678758,0.93097925,0.55,0.62,0.40789473,0.5114391,0.99999994,0.33591732,0.9104477,0.57894737,0.632653,0.507365,0.8992481,1.0,0.13235483,0.15,,,,
2022-01-02 14:00:00,0.3913043,0.0,0.29411763,0.12499997,0.25210083,0.6122449,0.9285714,0.39999995,0.4,0.25,1.0,0.6153846,1.0,0.33333337,0.33678758,0.93097925,0.55,0.62,0.40789473,0.95977855,0.99999994,0.33591732,0.9104477,0.57894737,0.632653,0.507365,0.4725564,1.0,0.13024077,0.15,,,,
2022-01-02 16:00:00,0.3913043,0.0,0.29411763,0.12499997,0.25210083,0.6122449,0.9285714,0.39999995,0.4,0.25,1.0,0.6153846,1.0,0.33333337,0.33678758,0.93097925,0.55,0.62,0.40789473,0.95977855,0.99999994,0.33591732,0.9104477,0.57894737,0.632653,0.507365,0.4725564,1.0,0.14657897,0.15,,,,
2022-01-02 18:00:00,0.3913043,0.0,0.29411763,0.12499997,0.25210083,0.6122449,0.9285714,0.39999995,0.4,0.25,1.0,0.6153846,1.0,0.33333337,0.33678758,0.93097925,0.55,0.62,0.40789473,0.95977855,0.99999994,0.33591732,0.9104477,0.57894737,0.632653,0.507365,0.4725564,1.0,0.13298,0.15,,,,
2022-01-02 20:00:00,0.3913043,0.0,0.29411763,0.12499997,0.25210083,0.6122449,0.9285714,0.39999995,0.4,0.25,1.0,0.6153846,1.0,0.33333337,0.33678758,0.93097925,0.55,0.62,0.40789473,0.5335793,0.99999994,0.33591732,0.9104477,0.57894737,0.632653,0.507365,0.47932336,1.0,0.13873827,0.14,,,,
2022-01-03 00:00:00,0.3913043,0.0,0.29411763,0.12499997,0.25210083,0.6122449,0.9285714,0.39999995,0.4,0.25,1.0,0.6153846,1.0,0.33333337,0.33678758,0.93097925,0.55,0.62,0.40789473,0.92472315,0.99999994,0.33591732,0.9104477,0.57894737,0.632653,0.507365,0.91804516,1.0,0.13408448,0.14,,,,
2022-01-03 02:00:00,0.3913043,0.0,0.4117648,0.12499997,0.25210083,0.6122449,0.9285714,0.39999995,0.4,0.25,1.0,0.6153846,1.0,0.33333337,0.33678758,0.93097925,0.55,0.62,0.40789473,0.90479696,0.99999994,0.33591732,0.9104477,0.57894737,0.632653,0.507365,0.47819552,1.0,0.08776134,0.14,,,,
