Date,BlockP,BlockT,C1P,C1T,C1L,C2P,C2T,C2interfacial_L,С2petrol_L,OH_T,OH_interfacial_L,OH_P,C3T,C3L,P1Tinput,P1Toutput,P1Pinput,P1Poutput,P1Тcoolant,P1Tgases,P1Рburner,P2Tinput,P2Toutput,P2Pinput,P2Poutput,P2Tcoolant,P2Tgases,P2Pburner,BEV1L,BEV1V_water,BEV1V_petrol,BEV1T_water,Water,Vlagomer
2023-01-01 02:00:00,0.11764693,0.33333334,0.23076937,0.2857141,0.18867925,0.6521738,0.31818187,0.33333334,0.53333336,0.69325155,0.4666667,0.625,0.09523812,0.0,0.8319783,0.97536945,0.09454545,0.857143,0.9627329,0.5617307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3494624,0.3387198,0.0,0.0,0.26443505,0.14
2023-01-01 04:00:00,0.29411766,0.33333334,0.153846,0.2857141,0.1509434,0.6521738,0.22727278,0.25,0.53333336,0.7546012,0.33333334,0.625,0.09523812,0.0,0.8102981,0.9408867,0.090909086,0.83928573,0.939441,0.534875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41935486,0.4130077,0.0,0.0,0.21602537,0.14
2023-01-01 06:00:00,0.35294116,0.33333334,0.23076937,0.2857141,0.16981132,0.6521738,0.13636366,0.25,0.53333336,0.7546012,0.19999999,0.75,0.047619045,0.0,0.802168,0.909688,0.092727266,0.857143,0.90683234,0.5046624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48924732,0.4879506,0.0,0.0,0.244241,0.12
2023-01-01 08:00:00,0.11764693,0.33333334,0.153846,0.2857141,0.16981132,0.6521738,0.09090912,0.25,0.53333336,0.63190186,0.06666666,0.75,0.047619045,0.0,0.82113814,0.97208536,0.092727266,0.857143,0.96118015,0.57702345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.55376345,0.5572263,0.0,0.0,0.24085137,0.08
2023-01-01 10:00:00,0.17647071,0.33333334,0.23076937,0.2857141,0.16981132,0.6086956,0.09090912,0.25,0.53333336,0.63190186,0.06666666,0.75,0.047619045,0.0,0.7669376,0.9162561,0.092727266,0.857143,0.91925466,0.5139873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.65053767,0.66029114,0.0,0.0,0.21443982,0.11
2023-01-01 12:00:00,0.0,0.33333334,0.07692301,0.2857141,0.16981132,0.6086956,0.09090912,0.25,0.53333336,0.5705522,0.53333336,0.75,0.047619045,0.0,0.6287263,0.8981937,0.092727266,0.857143,0.8959628,0.5046624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.72043014,0.7333493,0.0,0.0,0.23783006,0.1
2023-01-01 14:00:00,0.11764693,0.33333334,0.30769235,0.2857141,0.16981132,0.6521738,0.13636366,0.25,0.53333336,0.63190186,0.4666667,0.75,0.047619045,0.0,0.8943089,0.9014778,0.092727266,0.857143,0.8959628,0.5042894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.76344085,0.7774303,0.0,0.0,0.24882911,0.09
2023-01-01 16:00:00,0.17647071,0.33333334,0.07692301,0.2857141,0.16981132,0.6086956,0.22727278,0.25,0.53333336,0.63190186,0.33333334,0.75,0.047619045,0.0,0.85636854,0.90476185,0.092727266,0.857143,0.9021739,0.50167847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8333334,0.84716034,0.0,0.0,0.23719954,0.09
2023-01-01 18:00:00,0.11764693,0.33333334,0.0,0.2857141,0.16981132,0.6086956,0.13636366,0.25,0.53333336,0.69325155,0.19999999,0.75,0.047619045,0.0,0.79403794,0.8916256,0.092727266,0.857143,0.8881988,0.50093246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8655914,0.87839663,0.0,0.0,0.24443448,0.11
2023-01-01 20:00:00,0.11764693,0.33333334,0.23076937,0.2857141,0.1509434,0.6521738,0.09090912,0.25,0.53333336,0.63190186,0.13333333,0.875,0.047619045,0.0,0.7642276,0.9474548,0.092727266,0.83928573,0.947205,0.5337561,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9086021,0.9189355,0.0,0.0,0.22108796,0.09
2023-01-02 00:00:00,0.2352942,0.33333334,0.30769235,0.2857141,0.1509434,0.695652,0.31818187,0.25,0.6,0.4478528,0.40000004,0.875,0.09523812,0.0,0.65853655,0.9392446,0.090909086,0.857143,0.9332298,0.5024244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35483873,0.34440032,0.0,0.0,0.22519547,0.1
2023-01-02 02:00:00,0.11764693,0.33333334,0.23076937,0.2857141,0.18867925,0.6521738,0.31818187,0.33333334,0.53333336,0.69325155,0.4666667,0.625,0.09523812,0.0,0.8401084,0.92775035,0.090909086,0.83928573,0.9223603,0.49608353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3978495,0.3900584,0.0,0.0,0.2132813,0.1
2023-01-02 04:00:00,0.058823466,0.33333334,0.153846,0.2857141,0.16981132,0.6086956,0.13636366,0.25,0.53333336,0.38650307,0.19999999,0.875,0.047619045,0.0,0.7831978,0.90476185,0.092727266,0.857143,0.89906836,0.47482282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46236563,0.4590935,0.0,0.0,0.1989726,0.09
