Дата,Блок манифольда|P бм  |кгс/см²,Блок манифольда|t жидкости| °С,С-1|P сеп. |кгс/см²,С-1|t жидкости |°С,С-1|L жидкости| см,С-2|P сеп. |кгс/см²,С-2|t жидкости|°С,С-2|L межфазный|см,С-2|L нефти|см,ОН-1|t жидкости|°С,ОН-1|L межфазный|см,ОН-1|P отс. |кгс/см²,С-3|t жидкости|°С,С-3|L нефти|см,П-1|Т нефти на входе|°С,П-1|Т нефти на выходе|°С,П-1|Р нефти на входе|кгс/см²,П-1|Р нефти на выходе|кгс/см²,П-1|Т теплоно-сителя|°С,П-1|Т дымовых газов|°С,П-1|Р на горелку|кгс/см2,П-2|Т нефти на входе|°С,П-2|Т нефти на выходе|°С,П-2|Р нефти на входе|кгс/см²,П-2|Р нефти на выходе|кгс/см²,П-2|Т теплоно-сителя|°С,П-2|Т дымовых газов|°С,П-2|Р на горелку|кгс/см3,БЕВ-1|L воды|см,БЕВ-1|V воды|м3,БЕВ-1|V нефти,БЕВ-1|t воды
2023-01-01 00:00:00,6.3,15,6,14,80,4.5,54,64,73,1.2,48,50,24,9,34.4,56.1,5.2,4.8,59.1,259.7,0.2,0,0,0,0,0,0,0,114,35.38,0,33
2023-01-01 02:00:00,6.2,15,5.8,14,67,4.6,50,64,73,1.2,47,50,24,9,30.7,59.4,5.2,4.8,62,150.6,0,0,0,0,0,0,0,0,122,38.757,0,33
2023-01-01 04:00:00,6.5,15,5.7,14,65,4.6,48,63,73,1.3,45,50,24,9,29.9,57.3,5,4.7,60.5,143.4,0,0,0,0,0,0,0,0,135,44.315,0,33
2023-01-01 06:00:00,6.6,15,5.8,14,66,4.6,46,63,73,1.3,43,51,23,9,29.6,55.4,5.1,4.8,58.4,135.3,0,0,0,0,0,0,0,0,148,49.922,0,33
2023-01-01 08:00:00,6.2,15,5.7,14,66,4.6,45,63,73,1.1,41,51,23,9,30.3,59.2,5.1,4.8,61.9,154.7,0,0,0,0,0,0,0,0,160,55.105,0,33
2023-01-01 10:00:00,6.3,15,5.8,14,66,4.5,45,63,73,1.1,41,51,23,9,28.3,55.8,5.1,4.8,59.2,137.8,0,0,0,0,0,0,0,0,178,62.816,0,33
2023-01-01 12:00:00,6,15,5.6,14,66,4.5,45,63,73,1,48,51,23,9,23.2,54.7,5.1,4.8,57.7,135.3,0,0,0,0,0,0,0,0,191,68.282,0,33
2023-01-01 14:00:00,6.2,15,5.9,14,66,4.6,46,63,73,1.1,47,51,23,9,33,54.9,5.1,4.8,57.7,135.2,0,0,0,0,0,0,0,0,199,71.58,0,33
2023-01-01 16:00:00,6.3,15,5.6,14,66,4.5,48,63,73,1.1,45,51,23,9,31.6,55.1,5.1,4.8,58.1,134.5,0,0,0,0,0,0,0,0,212,76.797,0,33
2023-01-01 18:00:00,6.2,15,5.5,14,66,4.5,46,63,73,1.2,43,51,23,9,29.3,54.3,5.1,4.8,57.2,134.3,0,0,0,0,0,0,0,0,218,79.134,0,33
