Дата,Добыча воды за 2ч,Показания влагомера
2023-02-27 16:00:00,2.3492949999999992,0.1
2023-02-27 18:00:00,2.3600200000000005,0.1
2023-02-27 20:00:00,2.550145,0.08
2023-02-27 22:00:00,2.493075,0.11
2023-02-28 00:00:00,2.5159124999999984,0.12
2023-02-28 02:00:00,2.566041000000002,0.11
2023-02-28 04:00:00,2.7047655,0.12
2023-02-28 06:00:00,2.3979914999999994,0.11
2023-02-28 08:00:00,2.8226520000000006,0.12
2023-02-28 10:00:00,2.4680955000000004,0.11
2023-02-28 12:00:00,2.6006445,0.13
2023-02-28 14:00:00,2.5810139999999984,0.12
2023-02-28 16:00:00,2.512600500000001,0.1
2023-02-28 18:00:00,2.620688999999999,0.1
2023-02-28 20:00:00,2.6082689999999995,0.12
2023-02-28 22:00:00,2.4597465,0.09
