Дата,Добыча воды за 2ч,Показания влагомера
2023-01-01 00:00:00,,0.15
2023-01-01 02:00:00,2.235436,0.14
2023-01-01 04:00:00,2.010541000000001,0.14
2023-01-01 06:00:00,2.1416209999999984,0.12
2023-01-01 08:00:00,2.1258740000000005,0.08
2023-01-01 10:00:00,2.0031750000000006,0.11
2023-01-01 12:00:00,2.111838,0.1
2023-01-01 14:00:00,2.1629359999999993,0.09
2023-01-01 16:00:00,2.1089089999999997,0.09
2023-01-01 18:00:00,2.1425200000000015,0.11
2023-01-01 20:00:00,2.0340599999999984,0.09
2023-01-01 22:00:00,2.3403290000000023,0.09
2023-01-02 00:00:00,2.0531419999999985,0.1
2023-01-02 02:00:00,1.9977930000000015,0.1
2023-01-02 04:00:00,1.931319599999999,0.09
2023-01-02 06:00:00,1.9446994000000004,0.1
2023-01-02 08:00:00,1.9418265999999988,0.08
2023-01-02 10:00:00,1.9058102000000021,0.07
2023-01-02 12:00:00,1.9411349999999985,0.1
2023-01-02 14:00:00,1.9277285999999998,0.1
2023-01-02 16:00:00,1.9561374000000007,0.09
2023-01-02 18:00:00,1.8708046000000023,0.11
2023-01-02 20:00:00,1.9683733999999984,0.1
2023-01-02 22:00:00,1.9969683999999999,0.1
2023-01-03 00:00:00,1.9615638000000015,0.09
2023-01-03 02:00:00,1.4908760999999995,0.1
2023-01-03 04:00:00,1.5195869999999994,0.1
2023-01-03 06:00:00,1.4156315999999998,0.11
2023-01-03 08:00:00,1.4865290999999996,0.1
2023-01-03 10:00:00,1.417577400000001,0.09
2023-01-03 12:00:00,1.6056575999999996,0.09
2023-01-03 14:00:00,1.5342632999999992,0.11
2023-01-03 16:00:00,1.5018678,0.1
2023-01-03 18:00:00,1.4456052,0.08
2023-01-03 20:00:00,1.6016211,0.08
2023-01-03 22:00:00,1.479222,0.1
2023-01-04 00:00:00,1.6572213000000005,0.1
2023-01-04 02:00:00,2.6515244,0.1
2023-01-04 04:00:00,2.3086012000000005,0.1
2023-01-04 06:00:00,2.2988051999999985,0.11
2023-01-04 08:00:00,2.3604568,0.09
2023-01-04 10:00:00,2.3883280000000005,0.1
2023-01-04 12:00:00,2.712986399999998,0.1
2023-01-04 14:00:00,2.798654000000003,0.08
2023-01-04 16:00:00,2.638568399999999,0.11
2023-01-04 18:00:00,2.3865583999999993,0.11
2023-01-04 20:00:00,2.1767028000000006,0.12
2023-01-04 22:00:00,2.3211148000000006,0.08
2023-01-05 00:00:00,2.2148755999999987,0.11
2023-01-05 02:00:00,1.8202032000000006,0.12
2023-01-05 04:00:00,1.8101171999999996,0.12
2023-01-05 06:00:00,1.8153077999999994,0.1
2023-01-05 08:00:00,1.7994408000000015,0.08
2023-01-05 10:00:00,1.8281981999999974,0.1
2023-01-05 12:00:00,1.780498800000001,0.09
2023-01-05 14:00:00,1.7697732000000017,0.11
2023-01-05 16:00:00,1.9139537999999994,0.1
2023-01-05 18:00:00,1.7528237999999996,0.1
2023-01-05 20:00:00,1.8451722000000002,0.14
2023-01-05 22:00:00,1.8238440000000002,0.12
2023-01-06 00:00:00,1.8237210000000001,0.12
2023-01-06 02:00:00,1.7826731,0.12
2023-01-06 04:00:00,1.7413993999999997,0.1
2023-01-06 06:00:00,1.6364738000000005,0.11
2023-01-06 08:00:00,1.7565158000000007,0.08
2023-01-06 10:00:00,1.8206864000000005,0.09
2023-01-06 12:00:00,1.8349135999999984,0.1
2023-01-06 14:00:00,1.859490100000002,0.1
2023-01-06 16:00:00,1.779486799999999,0.08
2023-01-06 18:00:00,1.7554784000000005,0.11
2023-01-06 20:00:00,1.8723834999999998,0.09
2023-01-06 22:00:00,1.788798700000001,0.09
2023-01-08 00:00:00,1.8726658,0.16
2023-01-08 02:00:00,1.7714969999999994,0.15
2023-01-08 04:00:00,1.6861104000000011,0.15
2023-01-08 06:00:00,1.6823195999999987,0.15
2023-01-08 08:00:00,1.5982434,0.12
2023-01-08 10:00:00,1.7085977999999997,0.12
2023-01-08 12:00:00,1.725352200000001,0.15
2023-01-08 14:00:00,1.7271774,0.15
2023-01-08 16:00:00,1.7793827999999996,0.12
2023-01-08 18:00:00,1.8075564,0.12
2023-01-08 20:00:00,1.6387487999999997,0.1
2023-01-08 22:00:00,1.7245566000000006,0.1
2023-01-09 00:00:00,1.7314128,0.1
2023-01-09 02:00:00,1.5283503999999997,0.21
2023-01-09 04:00:00,1.5231352000000007,0.22
2023-01-09 06:00:00,1.5702839999999991,0.18
2023-01-09 08:00:00,1.6045643999999983,0.11
2023-01-09 10:00:00,1.5325056000000004,0.1
2023-01-09 12:00:00,1.475986400000001,0.09
2023-01-09 14:00:00,1.5422576,0.09
2023-01-09 16:00:00,1.5742484,0.08
2023-01-09 18:00:00,1.6456711999999993,0.08
2023-01-09 20:00:00,1.5985648000000017,0.09
2023-01-09 22:00:00,1.5021683999999982,0.09
2023-01-10 00:00:00,1.5093764000000014,0.09
2023-01-10 02:00:00,1.7816155000000007,0.08
2023-01-10 04:00:00,1.7980304999999988,0.08
2023-01-10 06:00:00,1.7477810000000014,0.09
2023-01-10 08:00:00,1.7296019999999996,0.08
2023-01-10 10:00:00,1.710443,0.08
2023-01-10 12:00:00,1.7228890000000003,0.09
2023-01-10 14:00:00,2.0798294999999993,0.08
2023-01-10 16:00:00,2.2039465000000007,0.08
2023-01-10 18:00:00,1.7855600000000007,0.08
2023-01-10 20:00:00,1.7619909999999996,0.1
2023-01-10 22:00:00,1.8339720000000002,0.1
2023-01-11 00:00:00,1.7236729999999993,0.1
