Дата,Блок манифольда|P бм  |кгс/см²,Блок манифольда|t жидкости| °С,С-1|P сеп. |кгс/см²,С-1|t жидкости |°С,С-1|L жидкости| см,С-2|P сеп. |кгс/см²,С-2|t жидкости|°С,С-2|L межфазный|см,С-2|L нефти|см,ОН-1|t жидкости|°С,ОН-1|L межфазный|см,ОН-1|P отс. |кгс/см²,С-3|t жидкости|°С,С-3|L нефти|см,П-1|Т нефти на входе|°С,П-1|Т нефти на выходе|°С,П-1|Р нефти на входе|кгс/см²,П-1|Р нефти на выходе|кгс/см²,П-1|Т теплоно-сителя|°С,П-1|Т дымовых газов|°С,П-1|Р на горелку|кгс/см2,П-2|Т нефти на входе|°С,П-2|Т нефти на выходе|°С,П-2|Р нефти на входе|кгс/см²,П-2|Р нефти на выходе|кгс/см²,П-2|Т теплоно-сителя|°С,П-2|Т дымовых газов|°С,П-2|Р на горелку|кгс/см3,БЕВ-1|L воды|см,БЕВ-1|V воды|м3,БЕВ-1|V нефти,БЕВ-1|t воды
2023-01-05 14:00:00,6.3,15,5.9,14,65,4.5,47,63,73,1,44,52,23,9,25.8,56.8,5.1,4.8,59.5,136.8,0,0,0,0,0,0,0,0,212,76.797,0,33
2023-01-05 16:00:00,6.4,15,5.9,14,65,4.4,51,63,73,1.1,47,52,23,9,26.4,59,5.1,4.8,61.7,154.3,0,0,0,0,0,0,0,0,227,82.539,0,33
2023-01-05 18:00:00,6.2,15,5.9,14,69,4.5,47,63,73,1.1,44,52,23,9,25.1,56.9,5.1,4.8,59.7,134.1,0,0,0,0,0,0,0,0,118,37.064,0,33
2023-01-05 20:00:00,6.6,15,5.7,14,67,4.6,48,64,73,1.1,44,52,23,9,26.9,57.3,4.9,4.6,60.4,138.1,0,0,0,0,0,0,0,0,128,41.314,0,33
2023-01-06 00:00:00,6.6,15,6,14,66,4.6,52,64,73,1.3,43,53,28,9,28.2,54.6,5.1,4.8,58.8,134.4,0,0,0,0,0,0,0,0,151,51.219,0,33
2023-01-06 02:00:00,6,15,5.8,14,66,4.5,46,65,73,1.2,42,53,28,9,26.3,56.2,4.9,4.6,59.4,260,0.2,0,0,0,0,0,0,0,164,56.828,0,33
2023-01-06 04:00:00,6.6,15,5.9,14,67,4.5,43,64,73,1.1,40,53,26,9,0,0,0,0,0,0,0,24.6,55.4,4.9,4.6,58.5,275.8,0.2,177,62.391,0,33
2023-01-06 06:00:00,6.2,15,5.9,14,67,4.5,43,64,73,1,40,53,26,9,0,0,0,0,0,0,0,23.9,55.5,4.9,4.6,58.1,123,0,190,67.866,0,33
2023-01-06 08:00:00,6.2,15,5.9,14,67,4.4,43,64,73,1.1,40,53,26,9,0,0,0,0,0,0,0,23.4,56.7,4.9,4.6,59.4,124.7,0,199,71.58,0,33
2023-01-06 10:00:00,6.3,15,6,14,67,4.4,56,64,73,1.1,47,53,26,9,27,58.6,4.9,4.6,62.1,135.6,0,0,0,0,0,0,0,0,145,48.626,0,33
2023-01-06 12:00:00,6.4,15,6,14,68,4.5,47,64,73,1,47,53,26,9,27.4,56,4.9,4.6,59.7,246.7,0.2,0,0,0,0,0,0,0,158,54.242,0,33
2023-01-06 14:00:00,6.5,15,6.2,14,66,4.4,46,64,73,1.1,43,53,26,9,25,56.4,5,4.7,59.6,132.2,0,0,0,0,0,0,0,0,166,57.688,0,33
2023-01-06 16:00:00,6.3,15,6,14,66,4.4,50,64,73,1,42,53,26,9,25.8,57.9,5,4.7,57.9,133.9,0,0,0,0,0,0,0,0,179,63.24,0,33
2023-01-06 18:00:00,6.4,15,6,14,66,4.6,50,65,74,1,46,53,28,9,25.5,58.4,5.1,4.8,61.6,51.1,0,0,0,0,0,0,0,0,193,69.112,0,33
2023-01-06 20:00:00,6.3,15,6,14,65,4.5,47,63,73,1.1,43,53,28,9,0,0,0,0,0,0,0,26.5,58.8,4.9,4.6,60.7,113.5,0,204,73.609,0,33
2023-01-08 00:00:00,6.4,15,6.1,14,75,4.2,51,63,73,1.1,48,53,28,9,29.9,57.6,4.8,4.6,61.2,116,0.2,30.7,57.5,4.9,4.6,58.2,88.5,0.2,181,64.087,0,42
2023-01-08 02:00:00,6.3,15,6,14,66,4.1,43,64,73,1,41,53,24,9,29,57.1,4.8,4.7,59.6,110.2,0.2,28.5,57.7,4.9,4.7,57.7,90.6,0.2,199,71.58,0,33
2023-01-08 04:00:00,6.3,15,6,14,66,4.1,43,64,73,1,41,53,24,9,29,53.7,4.8,4.6,56.9,214,0.2,30,57.5,4.9,4.7,59.1,92.5,0.2,213,77.19,0,33
