Date,BlockP,BlockT,C1P,C1T,C1L,C2P,C2T,C2interfacial_L,С2petrol_L,OH1T,OH1interfacial_L,OH1P,C3T,C3L,P1Tinput,P1Toutput,P1Pinput,P1Poutput,P1Тcoolant,P1Tgases,P1Рburner,P2Tinput,P2Toutput,P2Pinput,P2Poutput,P2Tcoolant,P2Tgases,P2Pburner,BEV1L,BEV1V_water,BEV1V_petrol,BEV1T_water,Water,Vlagomer
2023-01-01 00:00:00,6.3,15,6.0,14.0,80,4.5,54.0,64,73,1.2,48.0,50,24,9,34.4,56.1,5.2,4.8,59.1,259.7,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114,35.38,0,33,,0.15
2023-01-01 02:00:00,6.2,15,5.8,14.0,67,4.6,50.0,64,73,1.2,47.0,50,24,9,30.7,59.4,5.2,4.8,62.0,150.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,122,38.757,0,33,2.235436,0.14
2023-01-01 04:00:00,6.5,15,5.7,14.0,65,4.6,48.0,63,73,1.3,45.0,50,24,9,29.9,57.3,5.0,4.7,60.5,143.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135,44.315,0,33,2.010541000000001,0.14
2023-01-01 06:00:00,6.6,15,5.8,14.0,66,4.6,46.0,63,73,1.3,43.0,51,23,9,29.6,55.4,5.1,4.8,58.4,135.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,148,49.922,0,33,2.1416209999999984,0.12
2023-01-01 08:00:00,6.2,15,5.7,14.0,66,4.6,45.0,63,73,1.1,41.0,51,23,9,30.3,59.2,5.1,4.8,61.9,154.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160,55.105,0,33,2.1258740000000005,0.08
2023-01-01 10:00:00,6.3,15,5.8,14.0,66,4.5,45.0,63,73,1.1,41.0,51,23,9,28.3,55.8,5.1,4.8,59.2,137.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,178,62.816,0,33,2.0031750000000006,0.11
2023-01-01 12:00:00,6.0,15,5.6,14.0,66,4.5,45.0,63,73,1.0,48.0,51,23,9,23.2,54.7,5.1,4.8,57.7,135.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,191,68.282,0,33,2.111838,0.1
2023-01-01 14:00:00,6.2,15,5.9,14.0,66,4.6,46.0,63,73,1.1,47.0,51,23,9,33.0,54.9,5.1,4.8,57.7,135.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,199,71.58,0,33,2.1629359999999997,0.09
2023-01-01 16:00:00,6.3,15,5.6,14.0,66,4.5,48.0,63,73,1.1,45.0,51,23,9,31.6,55.1,5.1,4.8,58.1,134.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,212,76.797,0,33,2.108909,0.09
2023-01-01 18:00:00,6.2,15,5.5,14.0,66,4.5,46.0,63,73,1.2,43.0,51,23,9,29.3,54.3,5.1,4.8,57.2,134.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,218,79.134,0,33,2.142520000000001,0.11
