,Дата,Место сбора,"Сод. Cl соед., мг/дм3"
0,2024-03-01 04:00:00,ЭДГ-1/3,51.4
1,2024-03-01 07:05:00,АСН-6,21.0
2,2024-03-01 10:00:00,ЭДГ-1/3,23.4
3,2024-03-01 12:30:00,АСН-6,21.0
4,2024-03-01 16:00:00,ЭДГ-1/3,21.1
5,2024-03-01 22:00:00,ЭДГ-1/3,42.8
6,2024-03-02 04:00:00,ЭДГ-1/3,41.1
7,2024-03-02 07:10:00,АСН-6,21.1
8,2024-03-02 10:00:00,ЭДГ-1/3,27.0
9,2024-03-02 13:10:00,АСН-6,20.5
10,2024-03-02 16:00:00,ЭДГ-1/3,25.8
11,2024-03-02 22:00:00,ЭДГ-1/3,32.5
12,2024-03-03 04:00:00,ЭДГ-1/3,49.9
13,2024-03-03 07:05:00,АСН-6,28.1
14,2024-03-03 10:00:00,ЭДГ-1/3,23.4
15,2024-03-03 16:00:00,ЭДГ-1/3,24.6
16,2024-03-03 22:00:00,ЭДГ-1/3,32.4
17,2024-03-04 04:00:00,ЭДГ-1/3,25.6
18,2024-03-04 07:10:00,АСН-6,22.3
19,2024-03-04 10:00:00,ЭДГ-1/3,28.1
20,2024-03-04 13:10:00,АСН-6,21.1
21,2024-03-04 16:00:00,ЭДГ-1/3,29.3
22,2024-03-04 22:00:00,ЭДГ-1/3,31.7
23,2024-03-05 04:00:00,ЭДГ-1/3,24.5
24,2024-03-05 07:05:00,АСН-6,20.5
25,2024-03-05 10:00:00,ЭДГ-1/3,23.4
26,2024-03-05 16:00:00,ЭДГ-1/3,20.5
27,2024-03-05 22:00:00,ЭДГ-1/3,45.0
28,2024-03-06 04:00:00,ЭДГ-1/3,51.6
29,2024-03-06 07:10:00,АСН-6,23.4
30,2024-03-06 10:00:00,ЭДГ-1/3,64.4
31,2024-03-06 12:40:00,АСН-6,32.8
32,2024-03-06 16:00:00,ЭДГ-1/3,46.8
33,2024-03-06 19:00:00,ЭДГ-1/3,46.9
34,2024-03-06 22:00:00,ЭДГ-1/3,99.6
35,2024-03-07 01:00:00,ЭДГ-1/3,82.0
36,2024-03-07 04:00:00,ЭДГ-1/3,82.6
37,2024-03-07 06:30:00,АСН-6,23.9
38,2024-03-07 07:00:00,ЭДГ-1/3,41.9
39,2024-03-07 10:00:00,ЭДГ-1/3,35.9
40,2024-03-07 13:00:00,ЭДГ-1/3,77.7
41,2024-03-07 13:05:00,АСН-6,41.9
42,2024-03-07 16:00:00,ЭДГ-1/3,35.9
43,2024-03-07 22:00:00,ЭДГ-1/3,59.8
44,2024-03-08 02:00:00,ЭДГ-1/3,50.9
45,2024-03-08 04:00:00,ЭДГ-1/3,52.4
46,2024-03-08 10:00:00,ЭДГ-1/3,35.9
47,2024-03-08 13:00:00,ЭДГ-1/3,33.5
48,2024-03-08 13:35:00,АСН-6,26.3
49,2024-03-08 16:00:00,ЭДГ-1/3,31.1
50,2024-03-08 19:00:00,ЭДГ-1/3,65.8
51,2024-03-08 22:00:00,ЭДГ-1/3,59.8
52,2024-03-09 01:00:00,ЭДГ-1/3,65.8
53,2024-03-09 02:00:00,АСН-6,41.9
54,2024-03-09 04:00:00,ЭДГ-1/3,59.8
55,2024-03-09 07:00:00,ЭДГ-1/3,64.0
56,2024-03-09 10:00:00,ЭДГ-1/3,61.6
57,2024-03-09 13:00:00,ЭДГ-1/3,52.6
58,2024-03-09 16:00:00,ЭДГ-1/3,37.1
59,2024-03-09 22:00:00,ЭДГ-1/3,44.8
60,2024-03-10 01:00:00,АСН-6,50.1
61,2024-03-10 04:00:00,ЭДГ-1/3,52.7
62,2024-03-10 09:10:00,АСН-6,23.2
63,2024-03-10 10:00:00,ЭДГ-1/3,22.7
64,2024-03-10 16:00:00,ЭДГ-1/3,25.8
65,2024-03-10 22:00:00,ЭДГ-1/3,32.2
66,2024-03-11 01:00:00,АСН-6,28.2
67,2024-03-11 04:00:00,ЭДГ-1/3,33.8
68,2024-03-11 08:20:00,АСН-6,24.2
69,2024-03-11 10:00:00,ЭДГ-1/3,24.8
70,2024-03-11 16:00:00,ЭДГ-1/3,27.6
71,2024-03-11 22:00:00,ЭДГ-1/3,36.6
72,2024-03-12 01:00:00,АСН-6,26.2
73,2024-03-12 04:00:00,ЭДГ-1/3,39.4
74,2024-03-12 10:00:00,ЭДГ-1/3,41.8
75,2024-03-12 10:20:00,АСН-6,39.1
76,2024-03-12 16:00:00,ЭДГ-1/3,22.7
77,2024-03-12 22:00:00,ЭДГ-1/3,29.9
78,2024-03-13 01:00:00,АСН-6,32.9
79,2024-03-13 04:00:00,ЭДГ-1/3,20.9
80,2024-03-13 10:00:00,ЭДГ-1/3,33.5
81,2024-03-13 16:00:00,ЭДГ-1/3,31.1
82,2024-03-13 19:00:00,ЭДГ-1/3,35.9
83,2024-03-13 21:00:00,ЭДГ-1/3,298.9
84,2024-03-13 21:15:00,АСН-6,53.8
85,2024-03-13 22:00:00,ЭДГ-1/3,304.8
86,2024-03-13 23:00:00,ЭДГ-1/3,322.8
87,2024-03-13 00:00:00,ЭДГ-1/3,113.6
88,2024-03-14 02:00:00,ЭДГ-1/3,59.8
89,2024-03-14 04:00:00,ЭДГ-1/3,53.8
90,2024-03-14 07:00:00,АСН-6,37.1
91,2024-03-14 10:00:00,ЭДГ-1/3,26.3
92,2024-03-14 13:00:00,ЭДГ-1/3,53.8
93,2024-03-14 15:00:00,АСН-6,22.1
94,2024-03-14 16:00:00,ЭДГ-1/3,22.7
95,2024-03-14 22:00:00,ЭДГ-1/3,38.9
96,2024-03-15 01:00:00,АСН-6,59.8
97,2024-03-15 01:00:00,ЭДГ-1/3,89.7
