,Дата,Место сбора,"Сод. Cl соед., мг/дм3"
98,2024-03-15 02:00:00,ЭДГ-1/3,59.8
99,2024-03-15 03:00:00,ЭДГ-1/3,47.8
100,2024-03-15 04:00:00,ЭДГ-1/3,62.8
101,2024-03-15 07:00:00,ЭДГ-1/3,43.0
102,2024-03-15 07:30:00,АСН-6,41.8
103,2024-03-15 10:00:00,ЭДГ-1/3,43.0
104,2024-03-15 13:00:00,ЭДГ-1/3,71.7
105,2024-03-15 16:00:00,ЭДГ-1/3,68.7
106,2024-03-15 22:00:00,ЭДГ-1/3,35.9
107,2024-03-16 01:00:00,АСН-6,29.9
108,2024-03-16 04:00:00,ЭДГ-1/3,41.8
109,2024-03-16 10:00:00,ЭДГ-1/3,22.1
110,2024-03-16 10:30:00,АСН-6,22.1
111,2024-03-16 16:00:00,ЭДГ-1/3,27.2
112,2024-03-16 22:00:00,ЭДГ-1/3,35.9
113,2024-03-17 01:00:00,АСН-6,59.8
114,2024-03-17 04:00:00,ЭДГ-1/3,56.8
115,2024-03-17 07:50:00,АСН-6,88.1
116,2024-03-17 13:00:00,ЭДГ-1/3,58.0
117,2024-03-17 15:00:00,ЭДГ-1/3,28.4
118,2024-03-17 17:00:00,ЭДГ-1/3,22.5
119,2024-03-17 19:00:00,ЭДГ-1/3,23.9
120,2024-03-17 22:00:00,ЭДГ-1/3,38.9
121,2024-03-18 01:00:00,ЭДГ-1/3,35.9
122,2024-03-18 01:00:00,АСН-6,29.9
123,2024-03-18 04:00:00,ЭДГ-1/3,47.8
124,2024-03-18 07:00:00,ЭДГ-1/3,21.9
125,2024-03-18 07:00:00,АСН-6,21.3
126,2024-03-18 10:00:00,ЭДГ-1/3,27.2
127,2024-03-18 16:00:00,ЭДГ-1/3,24.9
128,2024-03-18 22:00:00,ЭДГ-1/3,23.9
129,2024-03-19 01:00:00,АСН-6,47.8
130,2024-03-19 04:00:00,ЭДГ-1/3,23.9
131,2024-03-19 08:10:00,АСН-6,21.9
132,2024-03-19 10:00:00,ЭДГ-1/3,22.5
133,2024-03-19 16:00:00,ЭДГ-1/3,21.9
134,2024-03-19 22:00:00,ЭДГ-1/3,41.8
135,2024-03-20 01:00:00,АСН-6,41.8
136,2024-03-20 04:00:00,ЭДГ-1/3,29.9
137,2024-03-20 10:00:00,ЭДГ-1/3,30.8
138,2024-03-20 10:50:00,АСН-6,21.3
139,2024-03-20 16:00:00,ЭДГ-1/3,28.4
140,2024-03-20 18:00:00,ЭДГ-1/3,53.8
141,2024-03-20 20:00:00,ЭДГ-1/3,32.9
142,2024-03-20 22:00:00,ЭДГ-1/3,41.8
143,2024-03-21 00:00:00,ЭДГ-1/3,38.9
144,2024-03-21 01:00:00,АСН-6,47.8
145,2024-03-21 02:00:00,ЭДГ-1/3,29.9
146,2024-03-21 04:00:00,ЭДГ-1/3,35.9
147,2024-03-21 06:00:00,ЭДГ-1/3,21.3
148,2024-03-21 08:00:00,ЭДГ-1/3,21.9
149,2024-03-21 10:00:00,ЭДГ-1/3,21.9
150,2024-03-21 12:00:00,ЭДГ-1/3,31.0
151,2024-03-21 14:00:00,ЭДГ-1/3,27.2
152,2024-03-21 16:00:00,ЭДГ-1/3,23.7
153,2024-03-21 18:00:00,ЭДГ-1/3,35.9
154,2024-03-21 20:00:00,ЭДГ-1/3,29.9
155,2024-03-21 22:00:00,ЭДГ-1/3,41.8
156,2024-03-22 00:00:00,ЭДГ-1/3,47.8
157,2024-03-22 01:00:00,АСН-6,32.9
158,2024-03-22 02:00:00,ЭДГ-1/3,29.9
159,2024-03-22 06:00:00,ЭДГ-1/3,22.5
160,2024-03-22 08:00:00,ЭДГ-1/3,25.4
161,2024-03-22 09:00:00,АСН-6,21.3
162,2024-03-22 10:00:00,ЭДГ-1/3,22.5
163,2024-03-22 12:00:00,ЭДГ-1/3,23.1
164,2024-03-22 13:00:00,ЭДГ-1/3,21.3
165,2024-03-22 16:00:00,ЭДГ-1/3,27.2
166,2024-03-22 22:00:00,ЭДГ-1/3,50.8
167,2024-03-23 01:00:00,АСН-6,26.9
168,2024-03-23 04:00:00,ЭДГ-1/3,32.9
169,2024-03-23 10:00:00,ЭДГ-1/3,28.9
170,2024-03-23 16:00:00,ЭДГ-1/3,24.8
171,2024-03-23 22:00:00,ЭДГ-1/3,42.6
172,2024-03-24 04:00:00,ЭДГ-1/3,32.0
173,2024-03-24 10:00:00,ЭДГ-1/3,30.8
174,2024-03-24 13:00:00,ЭДГ-1/3,23.6
175,2024-03-24 16:00:00,ЭДГ-1/3,24.8
176,2024-03-24 22:00:00,ЭДГ-1/3,33.2
177,2024-03-25 01:05:00,АСН-6,23.7
178,2024-03-25 04:00:00,ЭДГ-1/3,26.0
179,2024-03-25 10:00:00,ЭДГ-1/3,24.6
180,2024-03-25 14:30:00,АСН-6,28.1
181,2024-03-25 16:00:00,ЭДГ-1/3,21.4
182,2024-03-26 00:30:00,АСН-6,47.3
183,2024-03-26 04:00:00,ЭДГ-1/3,42.6
184,2024-03-26 10:00:00,ЭДГ-1/3,21.3
185,2024-03-26 14:30:00,АСН-6,20.6
186,2024-03-26 16:00:00,ЭДГ-1/3,29.6
187,2024-03-26 22:00:00,ЭДГ-1/3,23.6
188,2024-03-27 01:00:00,ЭДГ-1/3,63.9
189,2024-03-27 01:10:00,АСН-6,26.0
190,2024-03-27 04:00:00,ЭДГ-1/3,21.3
191,2024-03-27 10:00:00,ЭДГ-1/3,23.6
192,2024-03-27 14:00:00,АСН-6,33.1
193,2024-03-27 15:00:00,ЭДГ-1/3,21.3
194,2024-03-27 17:00:00,ЭДГ-1/3,20.1
195,2024-03-27 19:00:00,ЭДГ-1/3,37.9
196,2024-03-27 21:00:00,ЭДГ-1/3,40.2
197,2024-03-27 23:00:00,ЭДГ-1/3,45.0
198,2024-03-28 01:00:00,ЭДГ-1/3,39.1
199,2024-03-28 01:10:00,АСН-6,33.1
200,2024-03-28 03:00:00,ЭДГ-1/3,33.1
201,2024-03-28 05:00:00,ЭДГ-1/3,52.1
202,2024-03-28 10:00:00,ЭДГ-1/3,23.6
203,2024-03-28 14:00:00,АСН-6,23.6
204,2024-03-28 16:00:00,ЭДГ-1/3,35.6
205,2024-03-28 21:00:00,ЭДГ-1/3,59.2
206,2024-04-01 00:20:00,АСН-2,42.6
207,2024-04-01 01:00:00,ЭДГ-1/2,35.5
208,2024-04-01 04:00:00,ЭДГ-1/1,40.9
209,2024-04-01 05:00:00,БМ,15942.3
210,2024-04-01 07:00:00,ЭДГ-1/2,33.1
211,2024-04-01 10:00:00,ЭДГ-1/1,43.5
212,2024-04-01 13:00:00,ЭДГ-1/2,28.4
213,2024-04-01 14:00:00,АСН-1,21.3
214,2024-04-01 16:00:00,ЭДГ-1/1,44.4
215,2024-04-01 19:00:00,ЭДГ-1/2,40.9
216,2024-04-01 21:00:00,БМ Сут,15001.9
217,2024-04-01 22:00:00,ЭДГ-1/1,72.1
218,2024-04-01 22:00:00,АСН1-8,36.1
219,2024-04-02 01:00:00,АСН-2,43.3
220,2024-04-02 01:00:00,ЭДГ-1/2,21.6
221,2024-04-02 04:00:00,ЭДГ-1/1,67.3
222,2024-04-02 05:00:00,БМ,14924.4
223,2024-04-02 07:00:00,ЭДГ-1/2,23.7
224,2024-04-02 10:00:00,ЭДГ-1/1,85
225,2024-04-02 13:00:00,ЭДГ-1/2,23.6
226,2024-04-02 14:00:00,АСН-2,21.4
227,2024-04-02 16:00:00,ЭДГ-1/1,24.8
228,2024-04-02 19:00:00,ЭДГ-1/2,61.3
229,2024-04-02 21:00:00,БМ Сут,16986
230,2024-04-02 22:00:00,ЭДГ-1/1,70.8
231,2024-04-02 22:00:00,АСН1-8,48.4
232,2024-04-03 01:00:00,АСН-2,42.5
233,2024-04-03 01:00:00,ЭДГ-1/2,46
234,2024-04-03 04:00:00,ЭДГ-1/1,44.8
235,2024-04-03 05:00:00,БМ,17436.9
236,2024-04-03 07:00:00,ЭДГ-1/2,68.4
237,2024-04-03 10:00:00,ЭДГ-1/1,35.4
238,2024-04-03 13:00:00,ЭДГ-1/2,56.6
239,2024-04-03 14:00:00,АСН-1,18.6
240,2024-04-03 16:00:00,ЭДГ-1/1,23.6
241,2024-04-03 19:00:00,ЭДГ-1/2,63.7
242,2024-04-03 21:00:00,БМ Сут,18211
243,2024-04-03 22:00:00,ЭДГ-1/1,62.5
244,2024-04-03 22:00:00,ЭДГ-1/2,59
245,2024-04-03 22:00:00,АСН1-8,33
246,2024-04-04 01:00:00,АСН-2,37.8
247,2024-04-04 01:00:00,ЭДГ-1/2,28.3
248,2024-04-04 04:00:00,ЭДГ-1/1,30.1
249,2024-04-04 05:00:00,БМ,19868.8
250,2024-04-04 07:00:00,ЭДГ-1/2,21.1
251,2024-04-04 10:00:00,ЭДГ-1/1,23.6
252,2024-04-04 13:00:00,ЭДГ-1/2,42.2
253,2024-04-04 14:00:00,АСН-1,19.9
254,2024-04-04 16:00:00,ЭДГ-1/1,32.4
255,2024-04-04 19:00:00,ЭДГ-1/2,44.8
256,2024-04-04 21:00:00,БМ Сут,16445.2
257,2024-04-04 22:00:00,ЭДГ-1/1,75.5
258,2024-04-04 22:00:00,АСН1-8,34.8
259,2024-04-05 00:25:00,АСН-1,69.6
260,2024-04-05 01:00:00,ЭДГ-1/2,48.4
261,2024-04-05 04:00:00,ЭДГ-1/1,35.4
262,2024-04-05 05:00:00,БМ,16027.3
263,2024-04-05 07:00:00,ЭДГ-1/2,49.6
264,2024-04-05 10:00:00,ЭДГ-1/1,61.4
265,2024-04-05 13:00:00,ЭДГ-1/2,35.4
266,2024-04-05 14:00:00,АСН-1,35.4
267,2024-04-05 16:00:00,ЭДГ-1/1,54.3
268,2024-04-05 19:00:00,ЭДГ-1/2,47.2
269,2024-04-05 21:00:00,БМ Сут,"17,008,2"
270,2024-04-05 22:00:00,ЭДГ-1/1,46
271,2024-04-05 22:00:00,АСН1-8,37.8
272,2024-04-06 00:20:00,АСН-1,35.4
273,2024-04-06 01:00:00,ЭДГ-1/2,35.4
274,2024-04-06 04:00:00,ЭДГ-1/1,55.5
275,2024-04-06 05:00:00,БМ,16572.1
276,2024-04-06 07:00:00,ЭДГ-1/2,33
277,2024-04-06 10:00:00,ЭДГ-1/1,47.2
278,2024-04-06 13:00:00,ЭДГ-1/2,45.2
279,2024-04-06 14:00:00,АСН-1,36.6
280,2024-04-06 16:00:00,ЭДГ-1/1,23.6
281,2024-04-06 19:00:00,ЭДГ-1/2,85
282,2024-04-06 21:00:00,БМ Сут,17427.8
283,2024-04-06 22:00:00,ЭДГ-1/1,53.1
284,2024-04-06 22:00:00,АСН1-8,35.4
285,2024-04-07 01:00:00,АСН-1,46
286,2024-04-07 01:00:00,ЭДГ-1/2,40.1
287,2024-04-07 04:00:00,ЭДГ-1/1,33
288,2024-04-07 05:00:00,БМ,17023.3
289,2024-04-07 07:00:00,ЭДГ-1/2,47.2
290,2024-04-07 10:00:00,ЭДГ-1/1,51.9
291,2024-04-07 13:00:00,ЭДГ-1/2,62.5
292,2024-04-07 14:00:00,АСН-1,23.6
293,2024-04-07 16:00:00,ЭДГ-1/1,32.6
294,2024-04-07 19:00:00,ЭДГ-1/2,37.8
295,2024-04-07 21:00:00,БМ Сут,16552
296,2024-04-07 22:00:00,ЭДГ-1/1,90.8
297,2024-04-07 22:00:00,АСН1-8,40.1
298,2024-04-08 00:20:00,АСН-2,51.9
299,2024-04-08 01:00:00,ЭДГ-1/2,108.6
300,2024-04-08 04:00:00,ЭДГ-1/1,66
301,2024-04-08 04:00:00,ЭДГ-1/2,66.7
302,2024-04-08 05:00:00,БМ,17952.3
303,2024-04-08 07:00:00,ЭДГ-1/2,47.2
304,2024-04-08 10:00:00,ЭДГ-1/1,35.4
305,2024-04-08 13:00:00,ЭДГ-1/2,30.7
306,2024-04-08 14:00:00,АСН-1,15.8
307,2024-04-08 16:00:00,ЭДГ-1/1,22.2
308,2024-04-08 19:00:00,ЭДГ-1/2,29.5
309,2024-04-08 21:00:00,БМ Сут,18290
310,2024-04-08 22:00:00,ЭДГ-1/1,24.2
311,2024-04-08 22:00:00,АСН1-8,38.9
312,2024-04-09 01:00:00,ЭДГ-1/2,30.7
313,2024-04-09 04:00:00,ЭДГ-1/1,27.7
314,2024-04-09 07:00:00,ЭДГ-1/2,68.4
315,2024-04-09 10:00:00,ЭДГ-1/1,35.4
316,2024-04-09 13:00:00,ЭДГ-1/2,21.3
317,2024-04-09 14:00:00,АСН-1,35.4
318,2024-04-09 16:00:00,ЭДГ-1/1,33.1
319,2024-04-09 19:00:00,ЭДГ-1/2,53.1
320,2024-04-09 21:00:00,БМ Сут,15930
321,2024-04-09 22:00:00,ЭДГ-1/1,40.1
322,2024-04-09 22:00:00,АСН1-8,35.4
323,2024-04-10 01:00:00,ЭДГ-1/2,50.7
324,2024-04-10 04:00:00,ЭДГ-1/1,44.3
325,2024-04-10 05:00:00,БМ,17405
326,2024-04-10 07:00:00,ЭДГ-1/2,51.9
327,2024-04-10 10:00:00,ЭДГ-1/1,35.4
328,2024-04-10 13:00:00,ЭДГ-1/2,34.8
329,2024-04-10 14:00:00,АСН-1,35.4
330,2024-04-10 16:00:00,ЭДГ-1/1,33.1
331,2024-04-10 19:00:00,ЭДГ-1/2,31.3
332,2024-04-10 21:00:00,БМ Сут,14750
333,2024-04-10 22:00:00,ЭДГ-1/1,30.7
334,2024-04-10 22:00:00,АСН1-8,38.4
335,2024-04-11 01:00:00,ЭДГ-1/2,29.5
336,2024-04-11 04:00:00,ЭДГ-1/1,29.5
337,2024-04-11 05:00:00,БМ,15635
338,2024-04-11 07:00:00,ЭДГ-1/2,82.6
339,2024-04-11 12:00:00,ЭДГ-1/1,47.2
340,2024-04-11 12:00:00,ЭДГ-1/2,61.4
341,2024-04-11 13:00:00,ЭДГ-1/2,37.7
342,2024-04-11 14:00:00,АСН-1,69.4
343,2024-04-11 16:00:00,ЭДГ-1/1,74.1
344,2024-04-11 19:00:00,ЭДГ-1/2,50.9
345,2024-04-11 21:00:00,БМ Сут,9839.6
346,2024-04-11 22:00:00,ЭДГ-1/1,40.4
347,2024-04-11 22:00:00,АСН1-8,37.6
348,2024-04-12 01:00:00,ЭДГ-1/2,39.4
349,2024-04-12 04:00:00,ЭДГ-1/1,41.7
350,2024-04-12 05:00:00,БМ,13312.4
351,2024-04-12 07:00:00,ЭДГ-1/2,42.5
352,2024-04-12 12:00:00,ЭДГ-1/1,41.7
353,2024-04-12 13:00:00,ЭДГ-1/2,46.3
354,2024-04-12 14:00:00,АСН-1,32.4
355,2024-04-12 19:00:00,ЭДГ-1/1,72.9
356,2024-04-12 19:00:00,ЭДГ-1/2,62.5
357,2024-04-12 21:00:00,БМ Сут,19100.4
358,2024-04-12 22:00:00,ЭДГ-1/1,50.9
359,2024-04-12 22:00:00,ЭДГ-1/2,52.1
360,2024-04-12 22:00:00,АСН1-8,55.6
361,2024-04-13 01:00:00,ЭДГ-1/2,52.1
362,2024-04-13 04:00:00,ЭДГ-1/1,49.2
363,2024-04-13 05:00:00,БМ,17364
364,2024-04-13 07:00:00,ЭДГ-1/2,60.2
365,2024-04-13 13:00:00,ЭДГ-1/2,88
366,2024-04-13 13:00:00,ЭДГ-1/2,53.4
367,2024-04-13 14:00:00,АСН-1,53.3
368,2024-04-13 15:00:00,ЭДГ-1/2,69.5
369,2024-04-13 19:00:00,ЭДГ-1/1,55.8
370,2024-04-13 19:00:00,ЭДГ-1/2,48.6
371,2024-04-13 21:00:00,БМ Сут,10707.8
372,2024-04-13 22:00:00,ЭДГ-1/1,71.8
373,2024-04-13 22:00:00,ЭДГ-1/2,55.6
374,2024-04-13 22:00:00,АСН1-8,53
375,2024-04-14 00:00:00,ЭДГ-1/1,72.9
376,2024-04-14 00:00:00,ЭДГ-1/2,59
377,2024-04-14 02:00:00,ЭДГ-1/1,69.5
378,2024-04-14 02:00:00,ЭДГ-1/2,53.3
379,2024-04-14 05:00:00,БМ,11865.4
380,2024-04-14 06:00:00,ЭДГ-1/2,69.4
381,2024-04-14 10:00:00,ЭДГ-1/1,81
382,2024-04-14 10:00:00,ЭДГ-1/2,92.6
383,2024-04-14 14:00:00,ЭДГ-1/1,41.7
384,2024-04-14 14:00:00,ЭДГ-1/2,74.1
385,2024-04-14 14:00:00,АСН-1,55.5
386,2024-04-14 16:00:00,ЭДГ-1/1,29.6
387,2024-04-14 16:00:00,ЭДГ-1/2,34.8
388,2024-04-14 19:00:00,ЭДГ-1/1,63.7
389,2024-04-14 19:00:00,ЭДГ-1/2,70
390,2024-04-14 21:00:00,БМ Сут,17074.6
391,2024-04-14 22:00:00,ЭДГ-1/1,44
392,2024-04-14 22:00:00,ЭДГ-1/2,50.9
393,2024-04-14 22:00:00,АСН1-8,83.3
394,2024-04-15 01:00:00,ЭДГ-1/1,31.3
395,2024-04-15 01:00:00,ЭДГ-1/2,33.6
396,2024-04-15 04:00:00,ЭДГ-1/1,34.7
397,2024-04-15 05:00:00,БМ,16206.4
398,2024-04-15 07:00:00,ЭДГ-1/2,21.4
399,2024-04-15 10:00:00,ЭДГ-1/1,41.6
400,2024-04-15 13:00:00,ЭДГ-1/2,43.9
401,2024-04-15 14:00:00,АСН-3,27.8
402,2024-04-15 16:00:00,ЭДГ-1/1,46.3
403,2024-04-15 19:00:00,ЭДГ-1/2,85.3
404,2024-04-15 21:00:00,БМ Сут,11576
405,2024-04-15 22:00:00,ЭДГ-1/1,46.3
406,2024-04-15 22:00:00,АСН1-8,48
407,2024-04-16 01:00:00,ЭДГ-1/2,46.3
408,2024-04-16 04:00:00,ЭДГ-1/1,31.3
409,2024-04-16 05:00:00,БМ,12733.6
410,2024-04-16 07:00:00,ЭДГ-1/2,53.3
411,2024-04-16 10:00:00,ЭДГ-1/1,50.9
412,2024-04-16 13:00:00,ЭДГ-1/2,46.3
413,2024-04-16 14:00:00,АСН-3,53.3
414,2024-04-16 16:00:00,ЭДГ-1/1,64
415,2024-04-16 19:00:00,ЭДГ-1/2,59
416,2024-04-16 21:00:00,БМ Сут,15048.8
417,2024-04-16 22:00:00,ЭДГ-1/1,52.1
418,2024-04-16 22:00:00,АСН1-8,48.6
419,2024-04-17 01:00:00,ЭДГ-1/2,26.6
420,2024-04-17 04:00:00,ЭДГ-1/1,28.9
421,2024-04-17 05:00:00,БМ,15627.6
422,2024-04-17 07:00:00,ЭДГ-1/2,20.8
423,2024-04-17 10:00:00,ЭДГ-1/1,34.7
424,2024-04-17 13:00:00,ЭДГ-1/2,25.5
425,2024-04-17 14:00:00,АСН-3,28.9
426,2024-04-17 16:00:00,ЭДГ-1/1,75.2
427,2024-04-17 19:00:00,ЭДГ-1/2,30.1
428,2024-04-17 21:00:00,БМ Сут,18521.6
429,2024-04-17 22:00:00,ЭДГ-1/1,32.4
430,2024-04-17 22:00:00,АСН1-8,22
431,2024-04-18 01:00:00,ЭДГ-1/2,34.7
432,2024-04-18 04:00:00,ЭДГ-1/1,40.5
433,2024-04-18 05:00:00,БМ,17942.8
434,2024-04-18 07:00:00,ЭДГ-1/2,37.6
435,2024-04-18 10:00:00,ЭДГ-1/1,46.3
436,2024-04-18 13:00:00,ЭДГ-1/2,69.5
437,2024-04-18 14:00:00,АСН-3,46.3
438,2024-04-18 16:00:00,ЭДГ-1/1,63.7
439,2024-04-18 19:00:00,ЭДГ-1/2,76.4
440,2024-04-18 21:00:00,БМ Сут,16495.8
441,2024-04-18 22:00:00,ЭДГ-1/1,41.7
442,2024-04-18 22:00:00,АСН1-8,49.8
443,2024-04-19 01:00:00,ЭДГ-1/2,41.7
444,2024-04-19 04:00:00,ЭДГ-1/1,38.5
445,2024-04-19 05:00:00,БМ,15338.2
446,2024-04-19 07:00:00,ЭДГ-1/2,40.5
447,2024-04-19 10:00:00,ЭДГ-1/1,41.3
448,2024-04-19 13:00:00,ЭДГ-1/2,52.1
449,2024-04-19 14:00:00,АСН-3,35.6
450,2024-04-19 16:00:00,ЭДГ-1/1,35.3
451,2024-04-19 19:00:00,ЭДГ-1/2,69.5
452,2024-04-19 21:00:00,БМ Сут,10418.4
453,2024-04-19 22:00:00,ЭДГ-1/1,68.3
454,2024-04-19 22:00:00,АСН1-8,55.6
455,2024-04-20 01:00:00,ЭДГ-1/2,43.4
456,2024-04-20 04:00:00,ЭДГ-1/1,33.6
457,2024-04-20 07:00:00,ЭДГ-1/2,40.5
458,2024-04-20 11:00:00,ЭДГ-1/1,35.2
459,2024-04-20 11:00:00,ЭДГ-1/2,44.5
460,2024-04-20 13:00:00,ЭДГ-1/1,85.5
461,2024-04-20 13:00:00,ЭДГ-1/2,78.1
462,2024-04-20 14:00:00,АСН-3,25.8
463,2024-04-20 17:00:00,ЭДГ-1/1,57.4
464,2024-04-20 17:00:00,ЭДГ-1/2,60.3
465,2024-04-20 19:00:00,ЭДГ-1/2,50.5
466,2024-04-20 21:00:00,БМ Сут,16654.7
467,2024-04-20 22:00:00,ЭДГ-1/1,43.7
468,2024-04-20 22:00:00,АСН1-8,34.5
469,2024-04-21 01:00:00,ЭДГ-1/2,44.8
470,2024-04-21 04:00:00,ЭДГ-1/1,39.1
471,2024-04-21 05:00:00,БМ,16080.4
472,2024-04-21 07:00:00,ЭДГ-1/2,40.2
473,2024-04-21 10:00:00,ЭДГ-1/1,57.4
474,2024-04-21 13:00:00,ЭДГ-1/2,51.7
475,2024-04-21 14:00:00,АСН-3,37.3
476,2024-04-21 16:00:00,ЭДГ-1/1,48.8
477,2024-04-21 19:00:00,ЭДГ-1/2,78.1
478,2024-04-21 21:00:00,БМ Сут,12347.5
479,2024-04-21 22:00:00,ЭДГ-1/1,39.1
480,2024-04-21 22:00:00,АСН1-8,39.9
481,2024-04-22 01:00:00,ЭДГ-1/2,38.5
482,2024-04-22 04:00:00,ЭДГ-1/1,28.7
