,Место отбора,"Сод. Cl соед., мг/дм3",Дата
485,КСУ БЕН-1,124.4,2022-03-24 04:00:00
486,КСУ БЕН-3,122.4,2022-03-24 10:00:00
487,АСН-6,99.3,2022-03-24 10:20:00
488,КСУ БЕН-6,135.4,2022-03-24 16:00:00
489,АСН-6,74.4,2022-03-24 20:25:00
490,КСУ БЕН-4,98.3,2022-03-24 22:00:00
491,КСУ БЕН-2,139.8,2022-03-25 04:00:00
492,АСН-6,84.1,2022-03-25 07:05:00
493,КСУ БЕН-5,152,2022-03-25 10:00:00
494,КСУ-БЕН-2,163.9,2022-03-25 16:00:00
495,АСН-6,110.9,2022-03-25 21:00:00
496,КСУ БЕН-6,170.1,2022-03-25 22:00:00
497,КСУ-БЕН-3,165.4,2022-03-26 04:00:00
498,КСУ-БЕН-1,137.3,2022-03-26 10:00:00
499,АСН-6,63.1,2022-03-26 10:20:00
500,КСУ-БЕН-4,117.3,2022-03-26 16:00:00
501,АСН-6,92.7,2022-03-26 21:00:00
502,КСУ-БЕН-2,177.1,2022-03-26 22:00:00
503,КСУ-БЕН-5,197.3,2022-03-27 04:00:00
504,АСН-6,122.5,2022-03-27 07:00:00
505,КСУ БЕН-2,172,2022-03-27 10:00:00
506,АСН-6,112.6,2022-03-27 14:55:00
507,КСУ БЕН-6,164,2022-03-27 16:00:00
508,АСН-6,105.4,2022-03-27 21:00:00
509,КСУ БЕН-3,130.9,2022-03-27 22:00:00
510,КСУ БЕН-1,146.8,2022-03-28 04:00:00
511,АСН-6,131.1,2022-03-28 07:30:00
512,КСУ БЕН-4,137.4,2022-03-28 10:00:00
513,АСН-6,119.7,2022-03-28 21:10:00
514,КСУ БЕН-5,166.4,2022-03-28 22:00:00
515,КСУ БЕН-2,127.6,2022-03-29 04:00:00
516,КСУ БЕН-6,110.5,2022-03-29 10:00:00
517,АСН-6,113.4,2022-03-29 10:40:00
518,КСУ БЕН-4,206.2,2022-03-29 18:00:00
519,КСУ БЕН-5,208.6,2022-03-29 20:00:00
520,АСН-6,91.2,2022-03-29 20:50:00
521,КСУ БЕН-6,206.5,2022-03-29 00:00:00
522,КСУ БЕН-2,167.5,2022-03-30 02:00:00
523,КСУ БЕН-4,159.1,2022-03-30 06:00:00
524,АСН-6,74.3,2022-03-30 06:30:00
525,КСУ БЕН-1,121.5,2022-03-30 10:00:00
526,КСУ БЕН-5,129.4,2022-03-30 16:00:00
527,КСУ БЕН-2,127.8,2022-03-30 22:00:00
528,АСН-6,101.4,2022-03-30 22:50:00
529,КСУ БЕН-5,177.9,2022-03-31 04:00:00
530,АСН-5,99.9,2022-03-31 08:15:00
531,КСУ БЕН-3,239.6,2022-03-31 10:00:00
532,КСУ БЕН-4,214.5,2022-03-31 12:00:00
533,КСУ БЕН-5,235.8,2022-03-31 14:00:00
535,КСУ БЕН-6,216.4,2022-03-31 16:00:00
536,АСН-6,95.6,2022-03-31 21:20:00
537,КСУ БЕН-4,141.7,2022-03-31 22:00:00
538,КСУ БЭН-1,140.4,2022-04-01 04:00:00
539,АСН-6,111.5,2022-04-01 06:40:00
540,КСУ БЭН-5,146.9,2022-04-01 10:00:00
541,КСУ БЭН-2,251.9,2022-04-01 16:00:00
542,КСУ БЭН-6,216.2,2022-04-01 22:00:00
543,АСН-6,137.2,2022-04-01 22:30:00
544,КСУ БЕН-4,199.8,2022-04-02 04:00:00
545,КСУ БЕН-2,228.5,2022-04-02 10:00:00
546,АСН-6,166,2022-04-02 10:10:00
547,КСУ БЕН-5,200.9,2022-04-02 16:00:00
548,АСН-6,187.3,2022-04-02 21:10:00
549,КСУ БЕН-3,166.2,2022-04-02 22:00:00
550,КСУ БЕН-6,185.5,2022-04-03 04:00:00
551,КСУ БЕН-3,347.3,2022-04-03 10:00:00
552,КСУ БЕН-5,299.3,2022-04-03 12:00:00
553,КСУ БЕН-6,288.5,2022-04-03 14:00:00
554,КСУ БЕН-1,255.7,2022-04-03 16:00:00
555,КСУ БЕН-3,235.1,2022-04-03 20:00:00
556,КСУ БЕН-4,236.8,2022-04-03 22:00:00
557,АСН-6,176.3,2022-04-04 00:15:00
558,КСУ БЕН-2,175.1,2022-04-04 04:00:00
559,КСУ БЕН-5,169.3,2022-04-04 10:00:00
560,АСН-6,132.7,2022-04-04 12:40:00
561,КСУ БЕН-3,160.3,2022-04-04 16:00:00
562,КСУ БЕН-6,107.2,2022-04-04 22:00:00
563,АСН-6,109.7,2022-04-05 03:30:00
564,КСУ БЕН-4,121,2022-04-05 04:00:00
565,АСН-6,109.7,2022-04-05 08:30:00
566,КСУ БЕН-2,122.5,2022-04-05 10:00:00
567,КСУ БЕН-5,155.5,2022-04-05 16:00:00
568,КСУ БЕН-2,163.3,2022-04-05 22:00:00
569,АСН-6,137.6,2022-04-06 03:00:00
570,КСУ БЕН-6,145.5,2022-04-06 04:00:00
571,АСН-6,128.3,2022-04-06 08:40:00
572,КСУ БЕН-3,198,2022-04-06 10:00:00
573,КСУ БЕН-6,130.9,2022-04-06 16:00:00
574,АСН-6,129.4,2022-04-06 20:30:00
575,КСУ БЕН-4,146.5,2022-04-06 22:00:00
576,КСУ БЕН-5,125.7,2022-04-07 04:00:00
577,АСН-6,34.7,2022-04-07 08:10:00
578,КСУ БЕН-5,175,2022-04-07 10:00:00
579,КСУ БЕН-2,143.6,2022-04-07 16:00:00
580,КСУ БЕН-6,133.8,2022-04-07 22:00:00
581,АСН-6,91.3,2022-04-08 00:10:00
582,КСУ БЕН-3,95.5,2022-04-08 04:00:00
583,АСН-6,92.5,2022-04-08 07:00:00
584,КСУ-БЕН6,130.7,2022-04-08 10:00:00
585,КСУ БЕН-4,88.1,2022-04-08 16:00:00
586,АСН-6,103.6,2022-04-08 19:35:00
587,КСУ БЕН-1,153.3,2022-04-08 22:00:00
588,КСУ БЕН-5,136.8,2022-04-09 04:00:00
589,КСУ БЕН-2,82.5,2022-04-09 10:00:00
590,АСН-6,83.9,2022-04-09 14:10:00
591,КСУ БЕН-5,73,2022-04-09 16:00:00
592,КСУ БЕН-3,103.8,2022-04-09 22:00:00
593,АСН-6,58.2,2022-04-10 03:25:00
594,КСУ БЕН-6,98.4,2022-04-10 04:00:00
595,АСН-6,74.9,2022-04-10 08:20:00
596,КСУ БЕН-3,102.6,2022-04-10 10:00:00
597,КСУ БЕН-6,50,2022-04-10 16:00:00
598,КСУ БЕН-3,135.2,2022-04-10 22:00:00
599,АСН-6,60.6,2022-04-11 02:10:00
600,КСУ БЕН-1,166,2022-04-11 04:00:00
601,АСН-6,95.8,2022-04-11 09:20:00
602,КСУ БЕН-4,178.7,2022-04-11 10:00:00
603,КСУ БЕН-1,139.5,2022-04-11 16:00:00
604,КСУ БЕН-4,92.6,2022-04-11 22:00:00
605,АСН-6,74.1,2022-04-12 03:35:00
606,КСУ БЕН-1,170.7,2022-04-12 04:00:00
607,КСУ БЕН-5,174.4,2022-04-12 10:00:00
608,АСН-6,55,2022-04-12 15:30:00
609,КСУ БЕН-2,172.7,2022-04-12 16:00:00
610,КСУ БЕН-5,139.2,2022-04-12 22:00:00
611,АСН-6,109.4,2022-04-13 01:10:00
612,КСУ БЕН-2,58.8,2022-04-13 04:00:00
613,КСУ БЕН-5,136.7,2022-04-13 10:00:00
614,АСН-6,64.4,2022-04-13 10:30:00
615,КСУ БЕН-4,139.7,2022-04-13 16:00:00
616,КСУ БЕН-1,81.4,2022-04-13 22:00:00
617,КСУ БЕН-4,134.4,2022-04-14 04:00:00
618,АСН-6,83,2022-04-14 04:15:00
619,КСУ БЕН-1,133,2022-04-14 10:00:00
620,АСН-6,87.5,2022-04-14 13:00:00
621,КСУ БЕН-5,157.3,2022-04-14 16:00:00
622,КСУ БЕН-2,139.5,2022-04-14 22:00:00
623,АСН-6,98.3,2022-04-15 00:25:00
624,КСУ БЕН-5,187.4,2022-04-15 04:00:00
625,КСУ БЕН-3,103.4,2022-04-15 10:00:00
626,КСУ БЕН-6,56.6,2022-04-15 16:00:00
627,КСУ БЕН-3,134.1,2022-04-15 22:00:00
628,АСН-6,72.7,2022-04-16 00:15:00
629,КСУ БЕН-6,185.4,2022-04-16 04:00:00
630,КСУ БЕН-3,117.6,2022-04-16 10:00:00
631,АСН-6,73.5,2022-04-16 10:05:00
632,КСУ БЕН-1,217.2,2022-04-16 16:00:00
633,КСУ БЕН-4,182.1,2022-04-16 22:00:00
634,АСН-6,78.4,2022-04-17 01:35:00
635,КСУ БЕН-1,101,2022-04-17 04:00:00
636,КСУ БЕН-5,173,2022-04-17 10:00:00
637,КСУ БЕН-2,212.9,2022-04-17 16:00:00
638,АСН-6,23.3,2022-04-17 17:00:00
639,КСУ БЕН-5,190.3,2022-04-17 22:00:00
640,АСН-6,155.3,2022-04-18 00:25:00
641,КСУ БЕН-3,161.4,2022-04-18 04:00:00
643,АСН-6,124.2,2022-04-18 08:30:00
644,КСУ БЕН-1,221.5,2022-04-18 12:00:00
646,АСН-6,181.4,2022-04-18 17:00:00
647,КСУ БЕН-1,159.1,2022-04-18 22:00:00
648,АСН-6,129.9,2022-04-19 03:10:00
649,КСУ БЕН-5,169.9,2022-04-19 04:00:00
650,КСУ БЕН-2,128.8,2022-04-19 10:00:00
651,АСН-6,101.1,2022-04-19 13:30:00
652,КСУ БЕН-5,196.7,2022-04-19 16:00:00
653,КСУ БЕН-3,208.9,2022-04-19 22:00:00
654,АСН-6,130,2022-04-20 02:55:00
655,КСУ БЕН-6,128.8,2022-04-20 04:00:00
656,АСН-6,120.7,2022-04-20 09:00:00
657,КСУ БЕН-6,146.3,2022-04-20 10:00:00
658,КСУ БЕН-1,183.5,2022-04-20 17:00:00
659,КСУ БЕН-4,237.6,2022-04-20 22:00:00
660,АСН-6,132.3,2022-04-22 01:10:00
661,КСУ БЕН-2,245.3,2022-04-22 04:00:00
662,КСУ БЕН-1,256.3,2022-04-22 14:00:00
663,КСУ БЕН-3,122.4,2022-04-22 18:00:00
664,КСУ БЕН-5,207,2022-04-22 22:00:00
665,АСН-6,92.6,2022-04-22 22:30:00
666,КСУ БЕН-2,274.9,2022-04-23 04:00:00
667,АСН-6,100.2,2022-04-23 08:45:00
668,КСУ-БЕН-6,257.2,2022-04-23 10:00:00
669,КСУ-БЕН-3,47,2022-04-23 16:00:00
670,АСН-6,129.7,2022-04-23 18:20:00
671,КСУ-БЕН-1,238.6,2022-04-23 22:00:00
672,КСУ БЕН-5,226.6,2022-04-24 04:00:00
673,АСН-6,97.5,2022-04-24 08:50:00
674,КСУ БЕН-2,213.4,2022-04-24 10:00:00
675,КСУ БЕН-6,209,2022-04-24 16:00:00
676,КСУ БЕН-3,221.6,2022-04-24 22:00:00
677,АСН-6,106.3,2022-04-25 02:10:00
678,КСУ БЕН-1,228.8,2022-04-25 04:00:00
679,КСУ-БЕН-5,213.1,2022-04-25 10:00:00
680,АСН-6,118.7,2022-04-25 12:40:00
681,КСУ БЕН-2,181.5,2022-04-25 16:00:00
682,АСН-5,147.4,2022-04-25 19:00:00
683,КСУ-БЕН-5,144.9,2022-04-25 22:00:00
684,КСУ БЕН-3,213.5,2022-04-26 04:00:00
685,КСУ БЕН-6,217.8,2022-04-26 10:00:00
686,АСН-6,149.1,2022-04-26 13:00:00
687,КСУ БЕН-3,218.3,2022-04-26 16:00:00
688,АСН-6,121.6,2022-04-26 18:45:00
689,КСУ БЕН-6,161.8,2022-04-26 22:00:00
690,КСУ БЕН-3,222.5,2022-04-27 04:00:00
691,АСН-6,82.7,2022-04-27 08:50:00
692,КСУ БЕН-1,186,2022-04-27 10:00:00
693,КСУ БЕН-4,192.6,2022-04-27 16:00:00
694,АСН-6,99.7,2022-04-27 18:40:00
695,КСУ БЕН-1,186.9,2022-04-27 22:00:00
696,КСУ БЕН-4,149.3,2022-04-28 04:00:00
697,АСН-6,99.6,2022-04-28 08:10:00
698,КСУ БЕН-1,168.3,2022-04-28 10:00:00
699,КСУ БЕН-4,178.7,2022-04-28 16:00:00
700,АСН-6,114.9,2022-04-28 18:15:00
701,КСУ БЕН-1,264.4,2022-04-28 22:00:00
702,КСУ БЕН-4,230.5,2022-04-29 04:00:00
703,АСН-6,94.9,2022-04-29 08:30:00
704,КСУ БЕН-1,277.9,2022-04-29 10:00:00
705,КСУ БЕН-6,279.2,2022-04-29 16:00:00
706,КСУ БЕН-3,245.4,2022-04-29 22:00:00
707,АСН-6,110.7,2022-04-30 00:50:00
708,КСУ БЕН-6,237.7,2022-04-30 04:00:00
709,АСН-6,174.6,2022-04-30 08:15:00
710,КСУ БЕН-3,276,2022-04-30 10:00:00
711,КСУ БЕН-6,260.4,2022-04-30 16:00:00
712,КСУ БЕН-3,284.2,2022-04-30 22:00:00
713,АСН-6,194,2022-05-01 00:20:00
714,КСУ БЕН-1,285.9,2022-05-01 04:00:00
715,АСН-6,182.6,2022-05-01 04:15:00
716,АСН-6,164.2,2022-05-01 08:15:00
717,КСУ БЕН-5,120,2022-05-01 10:00:00
718,КСУ БЕН-1,234.4,2022-05-01 16:00:00
719,АСН-6,222.8,2022-05-01 21:15:00
720,КСУ БЕН-4,224.2,2022-05-01 22:00:00
721,АСН-6,221.3,2022-05-01 22:20:00
722,КСУ БЕН-1,230.5,2022-05-02 04:00:00
723,АСН-6,123.4,2022-05-02 04:10:00
724,АСН-6,137.1,2022-05-02 08:40:00
725,КСУ БЕН-5,194.6,2022-05-02 10:00:00
726,КСУ БЕН-2,148.9,2022-05-02 16:00:00
727,АСН-6,137.3,2022-05-02 16:35:00
728,АСН-6,99.1,2022-05-02 21:00:00
729,КСУ БЕН-6,149.8,2022-05-02 22:00:00
730,КСУ БЕН-3,184.9,2022-05-03 04:00:00
731,АСН-6,104.6,2022-05-03 08:45:00
732,КСУ БЕН-6,184.4,2022-05-03 10:00:00
733,КСУ БЕН-3,208,2022-05-03 16:00:00
734,АСН-6,108.5,2022-05-03 18:20:00
735,КСУ БЕН-1,138.5,2022-05-03 22:00:00
736,КСУ БЕН-5,152.1,2022-05-04 04:00:00
737,АСН-6,129.5,2022-05-04 08:55:00
738,КСУ БЕН-2,157.2,2022-05-04 10:00:00
739,КСУ-БЕН-6,166.3,2022-05-04 16:00:00
740,АСН-6,110.4,2022-05-04 18:30:00
741,КСУ-БЕН-3,198.6,2022-05-04 22:00:00
742,КСУ-БЕН-6,164.8,2022-05-05 04:00:00
743,АСН-6,97.6,2022-05-05 08:45:00
744,КСУ-БЕН-3,175.9,2022-05-05 10:00:00
745,КСУ-БЕН-1,189.8,2022-05-05 16:00:00
746,АСН-6,128.7,2022-05-05 21:15:00
747,КСУ-БЕН-5,178.3,2022-05-05 22:00:00
748,КСУ-БЕН-2,208.1,2022-05-06 04:00:00
749,АСН-6,122.8,2022-05-06 08:20:00
750,КСУ-БЕН-6,141.3,2022-05-06 10:00:00
751,КСУ-БЕН-3,169.2,2022-05-06 16:00:00
752,АСН-6,113.9,2022-05-06 18:55:00
753,КСУ-БЕН-1,183.5,2022-05-06 22:00:00
754,КСУ-БЕН-3,173.9,2022-05-07 04:00:00
755,АСН-6,100.1,2022-05-07 09:20:00
756,КСУ-БЕН-1,186.7,2022-05-07 10:00:00
757,КСУ-БЕН-3,144.6,2022-05-07 16:00:00
758,АСН-6,107.6,2022-05-07 18:25:00
759,КСУ-БЕН-6,117.6,2022-05-07 22:00:00
760,КСУ-БЕН-3,172.1,2022-05-08 04:00:00
761,АСН-6,89.7,2022-05-08 08:15:00
762,КСУ-БЕН-6,177.8,2022-05-08 10:00:00
763,КСУ-БЕН-3,159.1,2022-05-08 16:00:00
764,АСН-6,73.4,2022-05-08 18:25:00
765,КСУ-БЕН-6,185.4,2022-05-08 22:00:00
766,КСУ-БЕН-3,199.8,2022-05-09 04:00:00
767,АСН-6,110.1,2022-05-09 07:05:00
768,КСУ-БЕН-6,190.1,2022-05-09 10:00:00
769,АСН-6,125.6,2022-05-09 12:50:00
770,КСУ-БЕН-3,191.4,2022-05-09 16:00:00
771,АСН-6,119.7,2022-05-09 21:00:00
772,КСУ БЕН-6,140.9,2022-05-09 22:00:00
773,КСУ-БЕН-2,153.1,2022-05-10 04:00:00
774,АСН-6,62.3,2022-05-10 04:08:00
775,КСУ-БЕН-5,133.3,2022-05-10 10:00:00
776,АСН-6,49.2,2022-05-10 12:15:00
777,КСУ-БЕН-2,206.3,2022-05-10 16:00:00
778,АСН-6,86.5,2022-05-10 19:35:00
779,КСУ БЕН-5,193.7,2022-05-10 22:00:00
780,КСУ БЕН-2,185.1,2022-05-11 04:00:00
781,АСН-6,116.4,2022-05-11 08:10:00
782,КСУ БЕН-5,164.2,2022-05-11 10:00:00
783,КСУ БЕН-2,169.3,2022-05-11 16:00:00
784,АСН-6,89.8,2022-05-11 20:20:00
785,КСУ БЕН-2,227.9,2022-05-12 04:00:00
786,КСУ БЕН-5,222.2,2022-05-12 10:00:00
787,АСН-6,103,2022-05-12 12:05:00
788,КСУ БЕН-2,191,2022-05-12 16:00:00
789,КСУ БЕН-4,107.5,2022-05-12 22:00:00
790,АСН-6,117.8,2022-05-12 23:00:00
791,КСУ БЕН-6,91.8,2022-05-13 00:30:00
792,АСН-6,62,2022-05-13 02:13:00
793,КСУ БЕН-2,92.5,2022-05-13 04:00:00
794,КСУ БЕН-4,120.1,2022-05-13 10:00:00
795,АСН-6,59.3,2022-05-13 11:00:00
796,КСУ БЕН-6,95.1,2022-05-13 12:00:00
797,КСУ БЕН-1,127.6,2022-05-13 14:00:00
798,АСН-6,46.3,2022-05-13 14:30:00
799,КСУ БЕН-2,121.8,2022-05-13 16:00:00
800,КСУ БЕН-4,149.4,2022-05-13 18:00:00
801,АСН-6,79.6,2022-05-13 20:20:00
802,КСУ БЕН-1,160.9,2022-05-13 22:00:00
803,КСУ БЕН-4,135.1,2022-05-14 02:00:00
804,КСУ БЕН-1,106.4,2022-05-14 06:00:00
805,АСН-6,50.8,2022-05-14 08:10:00
806,КСУ БЕН-4,106.5,2022-05-14 10:00:00
807,АСН-6,83.5,2022-05-14 14:20:00
808,КСУ БЕН-2,114.9,2022-05-14 16:00:00
809,КСУ БЕН-1,82.1,2022-05-14 22:00:00
810,АСН-6,82,2022-05-15 00:10:00
811,КСУ БЕН-6,69.5,2022-05-15 04:00:00
812,АСН-6,43.9,2022-05-15 08:15:00
813,КСУ БЕН-5,110.1,2022-05-15 10:00:00
814,АСН-6,47.1,2022-05-15 14:35:00
815,КСУ БЕН-1,101.9,2022-05-15 16:00:00
816,КСУ БЕН-6,183.5,2022-05-15 21:30:00
817,КСУ БЕН-2,122.6,2022-05-15 23:30:00
818,КСУ БЕН-5,119.2,2022-05-16 02:10:00
819,АСН-6,40.6,2022-05-16 03:00:00
820,АСН-6,47.2,2022-05-16 03:40:00
821,АСН-6,56,2022-05-16 08:45:00
822,КСУ БЕН-6,117.07,2022-05-16 10:00:00
823,АСН-6,38.5,2022-05-16 11:20:00
824,КСУ БЕН-5,129.4,2022-05-16 16:00:00
825,АСН-6,37.1,2022-05-16 16:40:00
826,КСУ БЕН-5,195.4,2022-05-16 22:00:00
827,КСУ БЕН-5,107.1,2022-05-16 23:30:00
838,АСН-6,57,2022-05-17 00:16:00
839,КСУ БЕН-6,142.5,2022-05-17 04:00:00
840,АСН-6,60.3,2022-05-17 07:15:00
841,КСУ БЕН-3,91.4,2022-05-17 08:00:00
842,АСН-6,33.7,2022-05-17 09:40:00
843,КСУ БЕН-4,64.2,2022-05-17 10:00:00
844,АСН-6,33.5,2022-05-17 11:10:00
845,КСУ БЕН-3,61,2022-05-17 16:00:00
846,АСН-5,27.9,2022-05-17 20:20:00
847,КСУ БЕН-6,65.6,2022-05-17 22:00:00
848,КСУ БЕН-3,67.9,2022-05-18 04:00:00
849,КСУ БЕН-6,76.3,2022-05-18 10:00:00
850,АСН-6,47,2022-05-18 12:10:00
851,КСУ БЕН-3,105.1,2022-05-18 16:00:00
852,КСУ БЕН-6,83.9,2022-05-18 22:00:00
853,АСН-6,53.1,2022-05-19 00:40:00
854,КСУ БЕН-3,85.3,2022-05-19 04:00:00
855,КСУ БЕН-6,113.4,2022-05-19 10:00:00
856,АСН-6,59,2022-05-19 11:30:00
857,АСН-6,53.7,2022-05-19 14:10:00
858,КСУ БЕН-6,100.3,2022-05-19 16:00:00
859,АСН-6,55.5,2022-05-19 19:10:00
860,КСУ БЕН-6,148.9,2022-05-19 22:00:00
861,КСУ БЕН-3,185.6,2022-05-20 04:00:00
862,КСУ БЕН-5,177.1,2022-05-20 10:00:00
863,АСН-6,67.7,2022-05-20 10:45:00
864,КСУ БЕН-2,168.8,2022-05-20 16:00:00
865,АСН-6,53.3,2022-05-20 20:15:00
866,КСУ БЕН-5,236.5,2022-05-20 22:00:00
867,КСУ БЕН-2,160.2,2022-05-21 04:00:00
868,АСН-6,79.1,2022-05-21 08:40:00
869,КСУ БЕН-5,176.8,2022-05-21 10:00:00
870,КСУ БЕН-2,181.7,2022-05-21 16:00:00
871,АСН-6,34.6,2022-05-21 19:25:00
872,КСУ БЕН-5,186.9,2022-05-21 22:00:00
873,КСУ БЕН-2,213.4,2022-05-22 04:00:00
874,КСУ БЕН-4,188.7,2022-05-22 10:00:00
875,АСН-6,96.2,2022-05-22 12:15:00
876,КСУ БЕН-1,181,2022-05-22 16:00:00
877,АСН-6,78.2,2022-05-22 18:45:00
878,КСУ БЕН-4,176.5,2022-05-22 22:00:00
879,КСУ БЕН-1,188.6,2022-05-23 04:00:00
880,КСУ БЕН-4,223.8,2022-05-23 10:00:00
881,АСН-6,117.1,2022-05-23 12:50:00
882,КСУ БЕН-1,193.6,2022-05-23 16:00:00
883,КСУ-БЕН-5,173.7,2022-05-23 22:00:00
884,АСН-6,104.4,2022-05-23 23:20:00
885,АСН-6,104.4,2022-05-24 23:20:00
886,КСУ-БЕН-2,185.9,2022-05-24 04:00:00
887,КСУ-БЕН-5,207.3,2022-05-24 10:00:00
888,АСН-6,95.4,2022-05-24 12:25:00
889,КСУ-БЕН-2,170.3,2022-05-24 16:00:00
890,КСУ-БЕН-5,148.9,2022-05-24 22:00:00
891,АСН-6,79.5,2022-05-24 22:55:00
892,АСН-6,79.5,2022-05-25 22:55:00
893,КСУ-БЕН-2,133.7,2022-05-25 04:00:00
894,КСУ-БЕН-5,159.8,2022-05-25 10:00:00
895,АСН-6,83.5,2022-05-25 10:10:00
896,КСУ-БЕН-2,157.8,2022-05-25 16:00:00
897,КСУ-БЕН-6,179.8,2022-05-25 22:00:00
898,АСН-6,91.3,2022-05-26 03:10:00
899,КСУ-БЕН-3,190.5,2022-05-26 04:00:00
900,АСН-6,98.7,2022-05-26 08:45:00
901,КСУ-БЕН-1,171,2022-05-26 10:00:00
902,КСУ-БЕН-5,140.3,2022-05-26 16:00:00
903,КСУ-БЕН-2,104.5,2022-05-26 22:00:00
904,АСН-6,87,2022-05-27 00:30:00
905,КСУ БЕН-6,135.9,2022-05-27 04:00:00
906,АСН-6,121.8,2022-05-27 06:20:00
907,КСУ БЕН-3,202.3,2022-05-27 10:00:00
908,КСУ БЕН-2,195.2,2022-05-27 16:00:00
909,КСУ БЕН-2,153.9,2022-05-27 22:00:00
910,КСУ-БЕН-2,179.6,2022-05-28 04:00:00
911,АСН-6,135.6,2022-05-28 04:15:00
912,КСУ-БЕН-1,195.6,2022-05-28 10:00:00
913,АСН-6,99.2,2022-05-28 10:55:00
914,КСУ-БЕН-2,143.1,2022-05-28 16:00:00
915,АСН-6,103.9,2022-05-28 19:30:00
916,КСУ-БЕН-2,127.4,2022-05-29 04:00:00
917,АСН-6,95.2,2022-05-29 08:40:00
918,КСУ-БЕН-5,129.2,2022-05-29 10:00:00
919,КСУ-БЕН-2,151.4,2022-05-29 16:00:00
920,АСН-6,77.8,2022-05-29 20:50:00
921,КСУ-БЕН-6,177.4,2022-05-29 22:00:00
922,КСУ БЕН-3,172.8,2022-05-30 04:00:00
923,АСН-6,60.7,2022-05-30 06:40:00
924,КСУ БЕН-1,155.6,2022-05-30 10:00:00
925,КСУ БЕН-4,120.3,2022-05-30 16:00:00
926,КСУ БЕН-1,88.1,2022-05-30 22:00:00
927,АСН-6,85.5,2022-05-30 22:30:00
928,КСУ БЕН-5,219.5,2022-05-31 04:00:00
929,АСН-6,92.9,2022-05-31 09:05:00
930,КСУ БЕН-2,156.3,2022-05-31 10:00:00
931,КСУ БЕН-6,128.1,2022-05-31 18:00:00
932,КСУ БЕН-2,114.6,2022-05-31 22:00:00
933,АСН-6,115.6,2022-06-01 00:40:00
934,КСУ-БЕН-5,119.5,2022-06-01 04:00:00
935,АСН-6,64.5,2022-06-01 08:10:00
936,КСУ-БЕН-3,130,2022-06-01 10:00:00
937,КСУ-БЕН-6,145.2,2022-06-01 16:00:00
938,КСУ-БЕН-3,144,2022-06-01 22:00:00
939,АСН-6,79.3,2022-06-01 23:50:00
940,КСУ-БЕН-1,126.6,2022-06-02 04:00:00
941,АСН-6,87.2,2022-06-02 08:10:00
942,КСУ-БЕН-5,141.7,2022-06-02 10:00:00
943,КСУ-БЕН-2,129.8,2022-06-02 16:00:00
944,АСН-6,57.8,2022-06-02 20:30:00
945,КСУ-БЕН-6,81,2022-06-02 22:00:00
946,КСУ-БЕН-3,132.4,2022-06-03 04:00:00
947,АСН-6,62.2,2022-06-03 08:15:00
948,КСУ-БЕН-2,115.2,2022-06-03 10:00:00
949,КСУ-БЕН-5,119.1,2022-06-03 16:00:00
950,АСН-6,45.1,2022-06-03 21:05:00
951,КСУ-БЕН-2,114.5,2022-06-03 22:00:00
952,КСУ-БЕН-6,109.7,2022-06-04 04:00:00
953,КСУ-БЕН-4,127.2,2022-06-04 10:00:00
954,АСН-6,90.2,2022-06-04 11:15:00
955,КСУ-БЕН-1,134.7,2022-06-04 16:00:00
956,КСУ-БЕН-5,140.7,2022-06-04 22:00:00
957,АСН-6,69.7,2022-06-04 23:20:00
958,КСУ БЕН-2,161.9,2022-06-05 04:00:00
959,АСН-6,87.7,2022-06-05 08:40:00
960,КСУ БЕН-6,171.7,2022-06-05 10:00:00
961,КСУ БЕН-3,161.2,2022-06-05 16:00:00
962,АСН-6,97,2022-06-05 21:25:00
963,КСУ-БЕН-1,177.2,2022-06-05 22:00:00
964,КСУ-БЕН-5,108,2022-06-06 04:00:00
965,АСН-6,62.5,2022-06-06 07:15:00
966,КСУ БЕН-2,117.9,2022-06-06 10:00:00
967,КСУ-БЕН-5,150.8,2022-06-06 16:00:00
968,КСУ БЕН-2,88.5,2022-06-06 22:00:00
969,АСН-6,73.2,2022-06-06 23:40:00
970,КСУ БЕН-6,137.1,2022-06-07 04:00:00
971,КСУ БЕН-4,130,2022-06-07 10:00:00
972,АСН-6,73,2022-06-07 10:10:00
973,КСУ БЕН-1,139.1,2022-06-07 16:00:00
974,АСН-6,65.2,2022-06-07 21:10:00
975,КСУ БЕН-5,80.6,2022-06-07 22:00:00
976,КСУ БЕН-2,96.3,2022-06-08 04:00:00
977,КСУ БЕН-6,134.5,2022-06-08 10:00:00
978,АСН-6,95.1,2022-06-08 12:50:00
979,КСУ-БЕН-3,146.2,2022-06-08 16:00:00
980,КСУ-БЕН-1,85.6,2022-06-08 22:00:00
981,АСН-6,88.3,2022-06-09 02:20:00
982,КСУ БЕН-5,146.6,2022-06-09 04:00:00
983,КСУ БЕН-3,133,2022-06-09 10:00:00
984,АСН-6,87.8,2022-06-09 12:40:00
985,КСУ-БЕН-1,151.8,2022-06-09 16:00:00
986,КСУ БЕН-5,136,2022-06-09 22:00:00
987,АСН-6,93.6,2022-06-10 03:25:00
988,КСУ БЕН-2,147.3,2022-06-10 04:00:00
989,КСУ-БЕН-6,116.2,2022-06-10 10:00:00
990,КСУ-БЕН-3,115.8,2022-06-10 16:00:00
991,КСУ-БЕН-1,138.6,2022-06-10 22:00:00
