,Место отбора,"Сод. Cl соед., мг/дм3",Дата
114,КСУ БЕН-6,251.6,2022-01-17 10:00:00
115,Асн-5,132,2022-01-17 15:30:00
116,КСУ БЕН-3,214.8,2022-01-17 16:00:00
117,АСН-5,77.6,2022-01-17 19:00:00
118,КСУ БЕН-1,149,2022-01-17 22:00:00
119,КСУ БЕН-5,158,2022-01-18 04:00:00
120,АСН-5,66.8,2022-01-18 05:05:00
121,АСН-5,63.7,2022-01-18 07:40:00
122,КСУ БЕН-2,164.3,2022-01-18 10:00:00
123,КСУ БЕН-6,170.1,2022-01-18 16:00:00
124,АСН-5,58.6,2022-01-18 16:15:00
125,АСН-5,78,2022-01-18 19:00:00
126,КСУ БЕН-3,154.1,2022-01-18 22:00:00
127,АСН-5,65.5,2022-01-19 02:15:00
128,КСУ БЕН-1,161.3,2022-01-19 04:00:00
129,АСН-6,74,2022-01-19 08:50:00
130,КСУ БЕН-5,219.5,2022-01-19 10:00:00
131,КСУ БЕН-3,172.4,2022-01-19 16:00:00
132,АСН-5,91.5,2022-01-19 16:45:00
133,АСН-5,79.9,2022-01-19 21:00:00
134,КСУ БЕН-1,174.4,2022-01-19 22:00:00
135,КСУ БЕН-3,212.8,2022-01-20 01:30:00
136,КСУ БЕН-5,152.4,2022-01-20 04:00:00
137,АСН-5,58.3,2022-01-20 07:05:00
138,КСУ БЕН-2,183.4,2022-01-20 10:00:00
139,АСН-5,71.2,2022-01-20 15:00:00
140,КСУ БЕН-6,169.2,2022-01-20 16:00:00
141,АСН-5,97.7,2022-01-20 21:40:00
142,КСУ БЕН-5,157.4,2022-01-20 22:00:00
143,АСН-5,53.4,2022-01-21 02:40:00
144,КСУ БЕН-2,190.1,2022-01-21 04:00:00
145,АСН-5,88.1,2022-01-21 07:00:00
146,КСУ БЕН-6,158.2,2022-01-21 10:00:00
147,АСН-5,111.9,2022-01-21 15:05:00
148,КСУ БЕН-3,204.9,2022-01-21 16:00:00
149,АСН-5,68.3,2022-01-21 20:25:00
150,КСУ БЕН-1,175.9,2022-01-21 22:00:00
151,АСН-5,93.1,2022-01-22 02:25:00
152,КСУ БЕН-5,237.2,2022-01-22 04:00:00
153,АСН-5,67.4,2022-01-22 07:40:00
154,КСУ-БЕН-2,197.6,2022-01-22 10:00:00
155,АСН-5,60.2,2022-01-22 15:00:00
156,КСУ-БЕН-1,214.9,2022-01-22 16:00:00
157,КСУ-БЕН-5,244.1,2022-01-22 22:00:00
158,АСН-5,78.9,2022-01-22 22:22:00
159,КСУ-БЕН-2,208.7,2022-01-23 04:00:00
160,АСН-5,98.6,2022-01-23 08:15:00
161,КСУ-БЕН-6,215,2022-01-23 10:00:00
162,КСУ-БЕН-3,222.3,2022-01-23 16:00:00
163,АСН-5,85.5,2022-01-23 20:20:00
164,КСУ-БЕН-2,183.9,2022-01-23 22:00:00
165,КСУ-БЕН-6,144.6,2022-01-24 04:00:00
166,КСУ-БЕН-2,185.3,2022-01-24 07:00:00
167,АСН-5,54.1,2022-01-24 07:30:00
168,КСУ-БЕН-3,158.7,2022-01-24 10:00:00
169,КСУ-БЕН-1,193.8,2022-01-24 16:00:00
170,АСН-5,94.3,2022-01-24 16:20:00
171,АСН-5,86.1,2022-01-24 20:35:00
172,КСУ-БЕН-5,257.8,2022-01-24 22:00:00
173,КСУ БЕН-1,161.3,2022-01-25 04:00:00
174,АСН-5,42.8,2022-01-25 08:30:00
175,КСУ БЕН-5,137.3,2022-01-25 10:00:00
176,КСУ-БЕН-2,149.2,2022-01-25 16:00:00
177,АСН-5,81,2022-01-25 18:10:00
178,КСУ БЕН-5,135.1,2022-01-25 22:00:00
179,КСУ-БЕН-2,120.4,2022-01-26 04:00:00
180,АСН-5,57.2,2022-01-26 04:30:00
181,АСН-5,85.9,2022-01-26 06:30:00
182,КСУ-БЕН-5,161.9,2022-01-26 10:00:00
183,АСН-5,79.6,2022-01-26 14:40:00
184,КСУ-БЕН-2,172.5,2022-01-26 16:00:00
185,АСН-5,85.7,2022-01-26 18:25:00
186,КСУ-БЕН-6,131,2022-01-26 22:00:00
187,КСУ-БЕН-3,144.2,2022-01-27 04:00:00
188,АСН-5,72.3,2022-01-27 04:15:00
189,АСН-5,66.7,2022-01-27 08:35:00
190,КСУ-БЕН-6,194,2022-01-27 10:00:00
191,КСУ-БЕН-3,186.8,2022-01-27 16:00:00
192,АСН-5,47.9,2022-01-27 17:00:00
193,АСН-5,66.7,2022-01-27 21:10:00
194,КСУ-БЕН-6,145.3,2022-01-27 22:00:00
195,КСУ-БЕН-3,151.9,2022-01-28 04:00:00
196,КСУ-БЕН-6,165.4,2022-01-28 10:00:00
197,АСН-5,70.8,2022-01-28 13:45:00
198,КСУ-БЕН-3,178,2022-01-28 16:00:00
199,КСУ-БЕН-6,160.4,2022-01-28 22:00:00
200,КСУ-БЕН-3,183.7,2022-01-29 04:00:00
201,АСН-5,77.5,2022-01-29 08:55:00
202,КСУ-БЕН-1,68.9,2022-01-29 10:00:00
203,КСУ-БЕН-4,141.7,2022-01-30 04:00:00
204,КСУ-БЕН-2,197.5,2022-01-30 10:00:00
205,АСН-5,73.4,2022-01-30 11:15:00
206,КСУ-БЕН-5,154.8,2022-01-30 16:00:00
207,КСУ-БЕН-2,113,2022-01-30 22:00:00
208,КСУ-БЕН-5,105.2,2022-01-31 04:00:00
209,КСУ-БЕН-5,182.5,2022-01-31 10:00:00
210,АСН-5,99.5,2022-01-31 11:25:00
211,КСУ-БЕН-2,133,2022-01-31 16:00:00
212,КСУ-БЕН-6,117.6,2022-01-31 22:00:00
213,КСУ-БЕН-3,132.2,2022-02-01 04:00:00
214,КСУ-БЕН-6,170,2022-02-01 10:00:00
215,АСН-5,60.4,2022-02-01 12:15:00
216,КСУ-БЕН-3,192.6,2022-02-01 16:00:00
217,АСН-5,74.1,2022-02-01 18:35:00
218,КСУ-БЕН-6,171.5,2022-02-01 22:00:00
219,КСУ-БЕН-3,169.7,2022-02-03 04:00:00
220,АСН-5,84.1,2022-02-03 05:00:00
221,КСУ-БЕН-1,153,2022-02-03 10:00:00
222,КСУ-БЕН-4,156.5,2022-02-03 16:00:00
223,КСУ-БЕН-1,126.3,2022-02-03 22:00:00
224,КСУ-БЕН-4,137.7,2022-02-04 04:00:00
225,КСУ-БЕН-1,191.4,2022-02-04 10:00:00
