,Место отбора проб,"Сод. Cl соед., мг/дм3",Дата
1690,КСУ БЕН-4,96,2022-06-07 10:00:00
1691,АСН-2,46.7,2022-06-07 10:10:00
1692,КСУ БЕН-6,168.3,2022-06-07 16:00:00
1693,АСН-1,34,2022-06-07 16:05:00
1695,КСУ БЕН-6,97.9,2022-06-07 22:00:00
1697,КСУ СУТ,26.2,2022-06-07 23:00:00
1698,КСУ БЕН-5,68.3,2022-06-08 04:00:00
1699,БМ,1332.6,2022-06-08 06:00:00
1700,АСН-2,36,2022-06-08 08:05:00
1701,КСУ БЕН-7,95.1,2022-06-08 10:00:00
1702,АСН-2,31.2,2022-06-08 14:40:00
1703,КСУ БЕН-5,99.1,2022-06-08 16:00:00
1705,КСУ БЕН - 4,135.4,2022-06-08 22:00:00
1707,КСУ СУТ,60.8,2022-06-08 23:00:00
1708,КСУ БЕН-3,144.3,2022-06-09 04:00:00
1709,БМ,1068.8,2022-06-09 06:00:00
1710,КСУ БЕН-3,65.9,2022-06-09 10:00:00
1711,АСН-2,25.3,2022-06-09 10:15:00
1712,КСУ БЕН-2,97.2,2022-06-09 16:00:00
1713,АСН-2,33.7,2022-06-09 16:10:00
1715,КСУ БЕН-1,112.3,2022-06-09 22:00:00
1717,КСУ СУТ,33.4,2022-06-09 23:00:00
1718,КСУ БЕН-9,152.2,2022-06-10 04:00:00
1719,БМ,958.2,2022-06-10 06:00:00
1720,АСН-2,27.9,2022-06-10 08:10:00
1721,КСУ БЕН-8,66.2,2022-06-10 10:00:00
1722,КСУ БЕН-8,59.9,2022-06-10 16:00:00
1724,КСУ БЕН-7,80.8,2022-06-10 22:00:00
1726,КСУ СУТ,29,2022-06-10 23:00:00
1727,КСУ БЕН-6,94.8,2022-06-11 04:00:00
1728,БМ,996.4,2022-06-11 06:00:00
1729,КСУ БЕН-5,77.8,2022-06-11 10:00:00
1730,АСН-2,26.6,2022-06-11 10:55:00
1731,КСУ БЕН-5,77.2,2022-06-11 16:00:00
1733,КСУ БЕН-5,89.6,2022-06-11 22:00:00
1735,КСУ СУТ,42.1,2022-06-11 23:00:00
1736,КСУ БЕН-4,105,2022-06-12 04:00:00
1737,БМ,1046.4,2022-06-12 06:00:00
1738,КСУ БЕН-3,87.2,2022-06-12 10:00:00
1739,АСН-2,35.2,2022-06-12 10:10:00
1740,КСУ БЕН-1,80.2,2022-06-12 16:00:00
1742,АСН 1-6,29,2022-06-12 22:00:00
1744,КСУ СУТ,25.1,2022-06-12 23:00:00
1745,КСУ БЕН-2,96.1,2022-06-13 04:00:00
1746,БМ,998.4,2022-06-13 06:00:00
1747,КСУ БЕН-2,63.7,2022-06-13 10:00:00
1748,АСН-2,37.3,2022-06-13 10:15:00
1749,КСУ БЕН-2,76.2,2022-06-13 16:00:00
1751,АСН 1-6,32.4,2022-06-13 22:00:00
1753,КСУ СУТ,64.6,2022-06-13 23:00:00
1754,КСУ БЕН-9,99.4,2022-06-14 04:00:00
1755,БМ,1459.9,2022-06-14 06:00:00
1756,КСУ БЕН-9,55.6,2022-06-14 10:00:00
1757,АСН-2,29.1,2022-06-14 10:10:00
1758,КСУ БЕН-2,73.3,2022-06-14 16:00:00
1760,АСН 1-6,26.8,2022-06-14 22:00:00
1762,КСУ СУТ,23.1,2022-06-14 23:00:00
1763,КСУ БЕН-2,81.2,2022-06-15 04:00:00
1764,БМ,999.8,2022-06-15 06:00:00
1765,КСУ БЕН-3,71.4,2022-06-15 10:00:00
1766,АСН-2,28.1,2022-06-15 10:10:00
1767,КСУ БЕН-1,73,2022-06-15 16:00:00
1769,АСН 1-6,24.4,2022-06-15 22:00:00
1771,КСУ СУТ,55.8,1900-01-07 01:24:00
1772,КСУ БЕН-1,89.9,2022-06-16 04:00:00
1773,БМ,907.9,2022-06-16 06:00:00
1774,АСН-2,28.2,2022-06-16 08:55:00
1775,КСУ БЕН-1,58.6,2022-06-16 10:00:00
1776,КСУ БЕН-9,82,2022-06-16 16:00:00
1778,АСН 1-6,32.6,2022-06-16 22:00:00
1780,КСУ СУТ,56.5,2022-06-16 23:00:00
1781,КС УБЕН-9,116.8,2022-06-17 04:00:00
1782,БМ,834,2022-06-17 06:00:00
1783,КСУ БЕН-8,74.2,2022-06-17 10:00:00
1784,АСН-1,47.7,2022-06-17 10:45:00
1785,КСУ БЕН-2,58.7,2022-06-17 18:00:00
1787,АСН-1,26,2022-06-17 22:00:00
1789,КСУ СУТ,39.1,2022-06-17 23:00:00
1790,КСУ БЕН-7,81,2022-06-18 04:00:00
1791,БМ,900.3,2022-06-18 06:00:00
1792,АСН-2,24,2022-06-18 08:50:00
1793,КСУ БЕН-7,40.2,2022-06-18 10:00:00
1794,КСУ БЕН-6,50.2,2022-06-18 18:00:00
1796,АСН1-6,44.9,2022-06-18 22:00:00
1798,КСУ сут,78.9,2022-06-18 23:00:00
1799,БМ,717.5,2022-06-19 00:00:00
1800,БМ,736.6,2022-06-19 02:00:00
1801,КСУ БЕН-5,77.5,2022-06-19 04:00:00
1802,БМ,785.9,2022-06-19 07:00:00
1803,КСУ БЕН-4,60.4,2022-06-19 10:00:00
1804,АСН-2,23.3,2022-06-19 10:40:00
1805,КСУ БЕН-4,64.7,2022-06-19 16:00:00
1807,АСН 1-6,30.3,2022-06-19 22:00:00
1809,КСУ сут,55.1,2022-06-19 23:00:00
1810,КСУ БЕН-3,101.5,2022-06-20 04:00:00
1811,БМ,815.6,2022-06-20 06:00:00
1812,АСН-2,31.8,2022-06-20 06:50:00
1813,КСУ БЕН-3,63,2022-06-20 10:00:00
1814,КСУ БЕН-3,42.7,2022-06-20 16:00:00
1816,АСН 1-6,30.8,2022-06-20 22:00:00
1818,КСУ сут,50.2,2022-06-20 23:00:00
1819,КСУ БЕН-3,78.4,2022-06-21 04:00:00
1820,БМ,739.5,2022-06-21 08:00:00
1821,КСУ БЕН-3,77.6,2022-06-21 10:00:00
1822,АСН-2,28.1,2022-06-21 10:10:00
1823,КСУ БЕН-2,49.8,2022-06-21 16:00:00
1825,АСН 1-6,25.1,2022-06-21 22:00:00
1827,КСУ сут,36.9,2022-06-21 23:00:00
1828,КСУ БЕН-1,87.1,2022-06-22 04:00:00
1829,БМ,903,2022-06-22 06:00:00
1830,КСУ-БЕН 9,45.3,2022-06-22 10:00:00
1831,АСН-2,20.9,2022-06-22 10:15:00
1832,КСУ БЕН-8,71.2,2022-06-22 16:00:00
1834,КСУ БЕН-8,93.7,2022-06-22 22:00:00
1836,КСУ сут,110.8,2022-06-22 23:00:00
1837,КСУ-БЕН7,103.9,2022-06-23 04:00:00
1838,БМ,810.8,2022-06-23 06:00:00
1839,АСН-2,29.7,2022-06-23 09:20:00
1840,КСУ БЕН-7,93.5,2022-06-23 10:00:00
1841,КСУ БЕН-7,109.7,2022-06-23 16:00:00
1842,АСН 1-6,61,2022-06-23 22:00:00
1844,КСУ БЕН-7,112.3,2022-06-23 23:30:00
1845,КСУ СУТ,20.5,2022-06-23 23:00:00
1846,АСН-1,58,2022-06-24 02:10:00
1847,КСУ-БЕН-6,119.7,2022-06-24 04:00:00
1848,БМ,462.4,2022-06-24 06:00:00
1850,АСН-2,86.7,2022-06-24 10:00:00
1851,КСУ БЕН-7,136.2,2022-06-24 16:00:00
1853,АСН 1-6,28.7,2022-06-24 22:00:00
1855,КСУ СУТ,36.7,2022-06-24 23:00:00
1856,КСУ-БЕН-7,95,2022-06-25 04:00:00
1857,БМ,702.3,2022-06-25 06:00:00
1858,КСУ БЕН-7,105.8,2022-06-25 10:00:00
1859,АСН-2,31.5,2022-06-25 10:20:00
1860,КСУ БЕН-6,68.1,2022-06-25 16:00:00
1862,КСУ БЕН-6,83.6,2022-06-25 22:00:00
1864,КСУ СУТ,39,2022-06-25 23:00:00
1865,КСУ-БЕН-6,86,2022-06-26 04:00:00
1866,БМ,859.4,2022-06-26 06:00:00
1867,КСУ БЕН-5,74.7,2022-06-26 10:00:00
1868,АСН-2,22.4,2022-06-26 10:15:00
1869,КСУ БЕН-5,55.4,2022-06-26 16:00:00
1871,АСН 1-6,29,2022-06-26 22:00:00
1873,КСУ СУТ,30.4,2022-06-26 23:00:00
1874,КСУ-БЕН-3,100.3,2022-06-27 04:00:00
1875,БМ,1002.5,2022-06-27 05:00:00
1876,БМ,2103.3,2022-06-27 07:00:00
1877,БМ,1759.2,2022-06-27 08:00:00
1879,БМ,2140,2022-06-27 09:00:00
1880,АСН-2,66.9,2022-06-27 10:10:00
1882,БМ,2774.2,2022-06-27 11:00:00
1884,БМ,3096.3,2022-06-27 13:00:00
1886,БМ,2667.6,2022-06-27 15:00:00
1888,БМ,1909.1,2022-06-27 19:00:00
1889,АСН 1-6,31.1,2022-06-27 22:00:00
1893,КСУ СУТ,44.6,2022-06-27 23:00:00
1894,АСН-1,57.1,2022-06-28 02:05:00
1896,БМ,2321.6,2022-06-28 05:00:00
1897,КСУ БЕН-2,123.9,2022-06-28 10:00:00
1898,АСН-2,99.8,2022-06-28 10:15:00
1899,КСУ БЕН-2,142.1,2022-06-28 16:00:00
1900,АСН-2,81.1,2022-06-28 16:15:00
1902,КСУ БЕН-1,134.7,2022-06-28 22:00:00
1905,КСУ СУТ,54.1,2022-06-28 23:00:00
1906,КСУ-БЕН-1,96.7,2022-06-29 04:00:00
1907,БМ,2729.5,2022-06-29 06:00:00
1908,КСУ БЕН-1,73.3,2022-06-29 10:00:00
1909,АСН-2,38,2022-06-29 10:15:00
1910,КСУ БЕН-1,95,2022-06-29 16:00:00
1912,АСН 1-6,63.7,2022-06-29 22:00:00
1914,КСУ СУТ,57.6,2022-06-29 23:00:00
1915,КСУ-БЕН-1,147.6,2022-06-30 04:00:00
1916,БМ,2628.8,2022-06-30 06:00:00
1917,АСН-2,98.2,2022-06-30 08:45:00
1918,КСУ БЕН-9,141,2022-06-30 10:00:00
1919,АСН-2,64.1,2022-06-30 14:20:00
1920,КСУ БЕН-9,85.2,2022-06-30 16:00:00
1921,КСУ-БЕН-1,80.6,2022-06-30 22:00:00
1923,АСН 1-6,49.4,2022-06-30 23:00:00
1924,КСУ-БЕН-1,111.8,2022-07-01 04:00:00
1925,БМ,2361.4,2022-07-01 06:00:00
1926,АСН-4,44.2,2022-07-01 08:15:00
1927,КСУ БЕН-9,78.3,2022-07-01 10:00:00
1928,КСУ БЕН-9,84.5,2022-07-01 16:00:00
1930,АСН 1-6,51.5,2022-07-01 22:00:00
1932,КСУ СУТ,60.8,2022-07-01 23:00:00
1933,КСУ-БЕН-8,112.1,2022-07-02 04:00:00
1934,БМ,2058.1,2022-07-02 06:00:00
1935,АСН-2,87.6,2022-07-02 07:50:00
1936,КСУ БЕН-7,136.4,2022-07-02 10:00:00
1937,АСН-2,68.5,2022-07-02 14:20:00
1938,КСУ БЕН-7,126.3,2022-07-02 16:00:00
1939,КСУ БЕН-7,117.7,2022-07-02 22:00:00
1942,АСН 1-6,89.5,2022-07-02 23:00:00
1943,КСУ-БЕН-8,139.1,2022-07-03 04:00:00
1944,БМ,2402.9,2022-07-03 06:00:00
1945,АСН-2,79.8,2022-07-03 08:10:00
1946,КСУ БЕН-7,131.5,2022-07-03 10:00:00
1947,АСН-2,86.5,2022-07-03 14:20:00
1948,КСУ БЕН-8,113.9,2022-07-03 16:00:00
1950,КСУ БЕН-8,66.4,2022-07-03 22:00:00
1952,АСН 1-6,78.1,2022-07-03 23:00:00
1953,КСУ-БЕН-7,157.2,2022-07-04 04:00:00
1954,БМ,3869,2022-07-04 06:00:00
1955,АСН-2,72.1,2022-07-04 08:10:00
1956,КСУ БЕН-7,111.9,2022-07-04 10:00:00
1957,АСН-2,55.8,2022-07-04 13:20:00
1958,КСУ БЕН-6,146.1,2022-07-04 16:00:00
1960,АСН 1-6,63.4,2022-07-04 22:00:00
1962,КСУ СУТ,96.3,2022-07-04 23:00:00
1963,КСУ-БЕН-6,142.6,2022-07-05 04:00:00
1964,БМ,1994.9,2022-07-05 06:00:00
1965,КСУ БЕН-4,125.7,2022-07-05 10:00:00
1966,АСН-2,57.9,2022-07-05 14:10:00
1967,КСУ БЕН-4,112.3,2022-07-05 16:00:00
1969,КСУ-БЕН-5,116.3,2022-07-05 22:00:00
1970,КСУ СУТ,65.5,2022-07-05 23:00:00
1971,КСУ-БЕН-6,110.1,2022-07-06 04:00:00
1972,БМ,3236.5,2022-07-06 06:00:00
1973,КСУ БЕН-3,111,2022-07-06 10:00:00
1974,АСН-2,56.9,2022-07-06 13:30:00
1975,КСУ БЕН-4,112.2,2022-07-06 16:00:00
1977,АСН 1-6,34,2022-07-06 22:00:00
1979,КСУ СУТ,56.4,2022-07-06 23:00:00
1980,КСУ-БЕН-6,82.1,2022-07-07 04:00:00
1981,БМ,2717.6,2022-07-07 06:00:00
1982,КСУ БЕН-6,85,2022-07-07 10:00:00
1983,АСН-2,27.5,2022-07-07 13:20:00
1984,КСУ БЕН-7,82.4,2022-07-07 16:00:00
1986,АСН 1-6,34.3,2022-07-07 22:00:00
1988,КСУ СУТ,56.4,2022-07-07 23:00:00
1989,КСУ-БЕН-6,87.6,2022-07-08 04:00:00
1990,БМ,1631.9,2022-07-08 06:00:00
1991,АСН-1,33.4,2022-07-08 09:10:00
1992,КСУ БЕН-7,77.6,2022-07-08 10:00:00
1993,КСУ БЕН-9,96.5,2022-07-08 16:00:00
1995,АСН-1-6,27.8,2022-07-08 22:00:00
1997,КСУ СУТ,69.1,2022-07-08 23:00:00
1998,КСУ БЕН-7,67.6,2022-07-09 04:00:00
1999,БМ,2345.8,2022-07-09 06:00:00
2000,АСН-2,24.9,2022-07-09 08:10:00
2001,КСУ БЕН-6,57.1,2022-07-09 10:00:00
2002,КСУ БЕН-5,61.2,2022-07-09 16:00:00
2004,АСН-1-6,25.7,2022-07-09 22:00:00
2006,КСУ СУТ,72.1,2022-07-09 23:00:00
2007,КСУ БЕН-4,79.5,2022-07-10 04:00:00
2008,БМ,2310.4,2022-07-10 06:00:00
2009,АСН-1,48.5,2022-07-10 08:10:00
2010,КСУ БЕН-3,97,2022-07-10 10:00:00
2011,КСУ БЕН-3,82.5,2022-07-10 16:00:00
2013,АСН-1-6,42.1,2022-07-10 22:00:00
2015,КСУ СУТ,37.5,2022-07-10 23:00:00
2016,КСУ БЕН-2,86.9,2022-07-11 04:00:00
2017,БМ,2337.3,2022-07-11 06:00:00
2018,АСН-2,50.1,2022-07-11 08:10:00
2019,КСУ БЕН-2,73.5,2022-07-11 10:00:00
2020,КСУ БЕН-2,94.2,2022-07-11 16:00:00
2022,АСН-1-6,48.6,2022-07-11 22:00:00
2024,КСУ СУТ,59.7,2022-07-11 23:00:00
2025,КСУ БЕН-4,136.2,2022-07-12 04:00:00
2026,БМ,2501.2,2022-07-12 06:00:00
2027,КСУ БЕН-6,75.6,2022-07-12 10:00:00
2028,КСУ БЕН-6,67.4,2022-07-12 16:00:00
2030,КСУ БЕН-1,65.8,2022-07-12 22:00:00
2032,КСУ СУТ,21.6,2022-07-12 23:00:00
2033,КСУ БЕН-1,50,2022-07-13 04:00:00
2034,БМ,2112.5,2022-07-13 06:00:00
2035,КСУ БЕН-2,84.6,2022-07-13 10:00:00
2036,КСУ БЕН-3,62.5,2022-07-13 16:00:00
2038,КСУ БЕН-3,71.2,2022-07-13 22:00:00
2040,КСУ СУТ,28.7,2022-07-13 23:00:00
2041,КСУ БЕН-3,85.6,2022-07-14 04:00:00
2042,БМ,2512.8,2022-07-14 06:00:00
2043,КСУ БЕН-2,63.8,2022-07-14 10:00:00
2044,КСУ БЕН-3,85.2,2022-07-14 16:00:00
2046,АСН-1-6,45.5,2022-07-14 22:00:00
2048,КСУ СУТ,24.4,2022-07-14 23:00:00
2049,КСУ БЕН-1,70.3,2022-07-15 04:00:00
2050,БМ,2968,2022-07-15 06:00:00
2051,АСН-1,45.7,2022-07-15 08:40:00
2052,КСУ БЕН-9,79,2022-07-15 10:00:00
2053,КСУ БЕН-8,74.5,2022-07-15 16:00:00
2055,АСН-1-6,28,2022-07-15 22:00:00
2057,КСУ СУТ,36.5,2022-07-15 23:00:00
2058,КСУ БЕН-6,72,2022-07-16 04:00:00
2059,БМ,2362.4,2022-07-16 06:00:00
2060,АСН-2,33.7,2022-07-16 07:05:00
2061,КСУ БЕН-6,66.7,2022-07-16 10:00:00
2062,КСУ БЕН-6,72.7,2022-07-16 16:00:00
2064,АСН-1-6,20.2,2022-07-16 22:00:00
2066,КСУ СУТ,27.3,2022-07-16 23:00:00
2067,КСУ БЕН-4,85.7,2022-07-17 04:00:00
2068,БМ,2437.2,2022-07-17 06:00:00
2069,АСН-1,49.8,2022-07-17 08:50:00
2070,КСУ БЕН-2,101.3,2022-07-17 10:00:00
2071,КСУ БЕН-2,88.8,2022-07-17 16:00:00
2073,КСУ БЕН-2,93.4,2022-07-17 22:00:00
2075,КСУ СУТ,34,2022-07-17 23:00:00
2076,КСУ БЕН-1,86.4,2022-07-18 04:00:00
2077,БМ,2245,2022-07-18 06:00:00
2078,АСН-1,36.1,2022-07-18 09:10:00
2079,КСУ БЕН-8,94.7,2022-07-18 10:00:00
2081,АСН-1-6,55.8,2022-07-18 22:00:00
2083,КСУ СУТ,24.5,2022-07-18 23:00:00
2084,КСУ БЕН-6,82.4,2022-07-19 04:00:00
2085,БМ,2627.1,2022-07-19 06:00:00
2086,АСН-4,38.5,2022-07-19 08:35:00
2087,КСУ БЕН-5,104.5,2022-07-19 10:00:00
2088,КСУ БЕН-4,87.2,2022-07-19 16:00:00
2090,АСН-1-6,73.7,2022-07-19 22:00:00
2092,КСУ СУТ,48.7,2022-07-19 23:00:00
2093,КСУ БЕН-2,78.6,2022-07-20 04:00:00
2094,БМ,2342.2,2022-07-20 06:00:00
2095,АСН-2,44.9,2022-07-20 08:10:00
2096,КСУ БЕН-2,98.3,2022-07-20 10:00:00
2097,КСУ БЕН-2,96.1,2022-07-20 16:00:00
2099,КСУ БЕН-1,60.6,2022-07-20 22:00:00
2101,КСУ СУТ,26.5,2022-07-20 23:00:00
2102,КСУ БЕН-9,63.4,2022-07-21 04:00:00
2103,БМ,2841.4,2022-07-21 06:00:00
2104,АСН-1,32,2022-07-21 08:20:00
2105,КСУ БЕН-7,69.1,2022-07-21 10:00:00
2106,КСУ БЕН-6,90,2022-07-21 16:00:00
2107,КСУ БЕН-5,162.1,2022-07-21 21:00:00
2108,БЕН-2,32.4,2022-07-21 21:40:00
2109,АСН-1-6,24.5,2022-07-21 22:00:00
2112,КСУ СУТ,30.3,2022-07-21 23:00:00
2113,АСН-1,27.9,2022-07-22 00:10:00
2114,КСУ БЕН-4,138.9,2022-07-22 04:00:00
2115,АСН-1,26.8,2022-07-22 04:30:00
2116,БМ,1356,2022-07-22 06:00:00
2117,АСН-2,33.2,2022-07-22 08:15:00
2118,КСУ БЕН-3,154,2022-07-22 10:00:00
2119,АСН-1,87.8,2022-07-22 14:40:00
2120,КСУ БЕН-2,150.2,2022-07-22 16:00:00
2121,КСУ БЕН-7,112.9,2022-07-22 19:00:00
2123,АСН-1-6,49.4,2022-07-22 22:00:00
2125,КСУ СУТ,26.3,2022-07-22 23:00:00
2126,КСУ БЕН-2,73.4,2022-07-23 04:00:00
2127,БМ,1591.4,2022-07-23 06:00:00
2128,АСН-2,45.6,2022-07-23 08:10:00
2129,КСУ БЕН-1,82.8,2022-07-23 10:00:00
2130,КСУ БЕН-9,96.1,2022-07-23 16:00:00
2132,КСУ БЕН-9,137.7,2022-07-23 22:00:00
2134,КСУ СУТ,36.6,2022-07-23 23:00:00
2135,КСУ БЕН-8,129.6,2022-07-24 04:00:00
2136,БМ,2408.4,2022-07-24 06:00:00
2137,АСН-2,53.2,2022-07-24 08:10:00
2138,КСУ БЕН-8,115.1,2022-07-24 10:00:00
2139,КСУ БЕН-7,121.1,2022-07-24 16:00:00
2141,КСУ БЕН-6,106.6,2022-07-24 22:00:00
2143,КСУ СУТ,76.6,2022-07-24 23:00:00
2144,КСУ БЕН-5,106.4,2022-07-25 04:00:00
2145,БМ,2588.9,2022-07-25 06:00:00
2146,АСН-1,39.2,2022-07-25 08:50:00
2147,КСУ БЕН-5,60.2,2022-07-25 10:00:00
2148,КСУ БЕН-4,63.7,2022-07-25 16:00:00
2150,КСУ БЕН-3,57.4,2022-07-25 22:00:00
2152,КСУ СУТ,32.4,2022-07-25 23:00:00
2153,КСУ БЕН-2,82.1,2022-07-26 04:00:00
2154,БМ,2707.3,2022-07-26 06:00:00
2155,АСН-1,54.7,2022-07-26 07:40:00
2156,КСУ БЕН-2,118.5,2022-07-26 10:00:00
2157,КСУ БЕН-1,60.7,2022-07-26 16:00:00
2159,КСУ БЕН-1,62.8,2022-07-26 22:00:00
2161,КСУ СУТ,29.6,2022-07-26 23:00:00
2162,КСУ БЕН-1,56.1,2022-07-27 04:00:00
2163,БМ,1959.9,2022-07-27 06:00:00
2164,АСН-2,70.5,2022-07-27 08:20:00
2165,КСУ БЕН-1,55.1,2022-07-27 10:00:00
2166,КСУ БЕН-9,75.6,2022-07-27 16:00:00
2168,КСУ БЕН-9,50,2022-07-27 22:00:00
2170,КСУ СУТ,38.8,2022-07-27 23:00:00
2171,КСУ БЕН-9,63.3,2022-07-28 04:00:00
2172,БМ,2630.3,2022-07-28 06:00:00
2173,АСН-2,32.8,2022-07-28 08:10:00
2174,КСУ БЕН-9,48.1,2022-07-28 10:00:00
2175,КСУ БЕН-8,90.5,2022-07-28 16:00:00
2177,КСУ БЕН-8,161.1,2022-07-28 22:00:00
2179,КСУ СУТ,93.4,2022-07-28 23:00:00
2180,АСН-2,68.6,2022-07-29 00:15:00
2181,КСУ БЕН-8,135.4,2022-07-29 04:00:00
2182,БМ,3473.9,2022-07-29 06:00:00
2183,АСН-4,69.4,2022-07-29 08:15:00
2184,КСУ БЕН-8,97.7,2022-07-29 10:00:00
2185,КСУ БЕН-3,85.2,2022-07-29 16:00:00
2187,КСУ БЕН-2,182.8,2022-07-29 22:00:00
2189,КСУ СУТ,60.1,2022-07-29 23:00:00
2190,АСН-2,47.3,2022-07-30 00:10:00
2191,КСУ БЕН-2,103.6,2022-07-30 04:00:00
2192,БМ,2576.9,2022-07-30 06:00:00
2193,АСН-3,84.5,2022-07-30 08:20:00
2194,КСУ-БЕН-9,125.6,2022-07-30 10:00:00
2195,КСУ-БЕН-1,123.3,2022-07-30 16:00:00
2197,КСУ БЕН-9,139.7,2022-07-30 22:00:00
2199,КСУ СУТ,29.3,2022-07-30 23:00:00
2200,КСУ БЕН-1,166.4,2022-07-31 04:00:00
2201,БМ,2156.4,2022-07-31 06:00:00
2202,АСН-3,43,2022-07-31 08:20:00
2203,КСУ БЕН-1,81.1,2022-07-31 10:00:00
2204,КСУ БЕН-1,106.1,2022-07-31 16:00:00
2206,КСУ БЕН-1,99.2,2022-07-31 22:00:00
2207,КСУ СУТ,73.7,2022-07-31 23:00:00
2208,КСУ БЕН-1,109.1,2022-08-01 04:00:00
2209,БМ,2397.2,2022-08-01 06:00:00
2210,АСН-3,54.18,2022-08-01 08:20:00
2211,КСУ БЕН-1,101.8,2022-08-01 10:00:00
2212,КСУ БЕН-9,112.2,2022-08-01 16:00:00
2214,КСУ БЕН-9,106.3,2022-08-01 22:00:00
2216,КСУ СУТ,60.1,2022-08-01 23:00:00
2217,КСУ БЕН-9,81.5,2022-08-02 04:00:00
2218,БМ,2347.8,2022-08-02 06:00:00
2219,АСН-2,46.7,2022-08-02 08:25:00
2220,КСУ БЕН-9,79.7,2022-08-02 10:00:00
2221,КСУ БЕН-8,78.4,2022-08-02 16:00:00
2223,КСУ БЕН-7,71.9,2022-08-02 22:00:00
2225,КСУ СУТ,39.2,2022-08-02 23:00:00
2226,КСУ БЕН-7,84.6,2022-08-03 04:00:00
2227,БМ,2142.6,2022-08-03 06:00:00
2228,АСН-3,36.2,2022-08-03 08:20:00
2229,КСУ БЕН-7,79.5,2022-08-03 10:00:00
2230,КСУ БЕН-7,96.3,2022-08-03 16:00:00
2232,КСУ БЕН-6,163.9,2022-08-03 22:00:00
2234,КСУ СУТ,67.5,2022-08-03 23:00:00
2235,КСУ БЕН-6,133.9,2022-08-04 04:00:00
2236,БМ,2386,2022-08-04 06:00:00
2237,АСН-3,61.4,2022-08-04 08:10:00
2238,КСУ БЕН-6,97.2,2022-08-04 10:00:00
2239,КСУ БЕН-6,106.3,2022-08-04 16:00:00
2241,КСУ БЕН-5,161,2022-08-04 22:00:00
2243,КСУ СУТ,93.3,2022-08-04 23:00:00
2244,КСУ БЕН-5,144.9,2022-08-05 04:00:00
2245,БМ,3543.2,2022-08-05 06:00:00
2246,КСУ БЕН-1, ,2022-08-05 07:00:00
2247,АСН-2,54,2022-08-05 08:30:00
2248,КСУ БЕН-6,98.5,2022-08-05 10:00:00
2249,КСУ БЕН-5,86.7,2022-08-05 16:00:00
2251,КСУ БЕН-6,88.1,2022-08-05 22:00:00
2253,КСУ СУТ,98.8,2022-08-05 23:00:00
2254,КСУ БЕН-3,92.4,2022-08-06 04:00:00
2255,БМ ,3077.4,2022-08-06 06:00:00
2256,АСН-3,38.9,2022-08-06 08:10:00
2257,КСУ БЕН-4,112.6,2022-08-06 10:00:00
2258,КСУ БЕН-4,160.4,2022-08-06 16:00:00
2260,КСУ БЕН-5,144.7,2022-08-06 22:00:00
2262,КСУ СУТ,29.2,2022-08-06 23:00:00
2263,КСУ БЕН-6,153.8,2022-08-07 04:00:00
2264,БМ,3526.6,2022-08-07 06:00:00
2265,АСН-2,55.2,2022-08-07 08:10:00
2266,КСУ БЕН-7,106,2022-08-07 10:00:00
2267,КСУ БЕН-6,111.5,2022-08-07 16:00:00
2269,КСУ БЕН-8,122.1,2022-08-07 22:00:00
2271,КСУ СУТ,45.1,2022-08-07 23:00:00
2272,КСУ БЕН-9,92.9,2022-08-08 04:00:00
2273,БМ,3441.8,2022-08-08 06:00:00
2274,АСН-1,36.9,2022-08-08 08:15:00
2275,КСУ БЕН-1,84.3,2022-08-08 10:00:00
2276,КСУ БЕН-1,89.1,2022-08-08 16:00:00
2278,АСН 1-6,49.5,2022-08-08 22:00:00
2280,КСУ СУТ,83,2022-08-08 23:00:00
2281,АСН-2,40.9,2022-08-09 00:10:00
2282,КСУ БЕН-2,102.8,2022-08-09 04:00:00
2283,БМ,3623.3,2022-08-09 06:00:00
2284,АСН-1,35,2022-08-09 08:15:00
2285,КСУ БЕН-1,74.8,2022-08-09 10:00:00
2286,КСУ БЕН-2,85.3,2022-08-09 16:00:00
2289,КСУ СУТ,173.4,2022-08-09 23:00:00
2290,АСН 1-6,36,2022-08-09 22:00:00
2291,АСН-2,95.1,2022-08-10 00:10:00
2292,КСУ БЕН-8,140.3,2022-08-10 01:00:00
2293,КСУ БЕН-5,105.6,2022-08-10 04:00:00
2294,БМ,4111.9,2022-08-10 06:00:00
2295,АСН-2,79.9,2022-08-10 08:15:00
2296,КСУ БЕН-5,149.4,2022-08-10 10:00:00
2297,КСУ БЕН-1,152.7,2022-08-10 13:00:00
2298,БМ,3790.1,2022-08-10 13:40:00
2299,АСН-2,82.8,2022-08-10 14:25:00
2300,КСУ БЕН-7,111.4,2022-08-10 17:20:00
2302,АСН 1-6,41.5,2022-08-10 22:00:00
2304,КСУ СУТ,31.7,2022-08-10 23:00:00
2305,АСН-2,41.9,2022-08-11 00:10:00
2306,КСУ БЕН-4,115.1,2022-08-11 04:00:00
2307,БМ,2844.3,2022-08-11 06:00:00
2308,АСН-2,49.5,2022-08-11 08:30:00
2309,КСУ БЕН-4,89.5,2022-08-11 10:00:00
2310,КСУ БЕН-1,101.1,2022-08-11 14:30:00
2312,АСН 1-6,22.5,2022-08-11 22:00:00
2314,КСУ СУТ,28.7,2022-08-11 23:00:00
2315,КСУ БЕН-3,124.4,2022-08-12 04:00:00
