Date,BlockP,BlockT,C1P,C1T,C1L,C2P,C2T,C2interfacial_L,С2petrol_L,OH_T,OH_interfacial_L,OH_P,C3T,C3L,P1Tinput,P1Toutput,P1Pinput,P1Poutput,P1Тcoolant,P1Tgases,P1Рburner,P2Tinput,P2Toutput,P2Pinput,P2Poutput,P2Tcoolant,P2Tgases,P2Pburner,Water,Vlagomer
2022-01-01 00:00:00,0.3478261,0.125,0.4117648,0.25,0.0504065,0.6122449,0.9285714,0.80303025,0.9545454,0.47058824,0.7857143,0.74999994,0.86956525,0.02564103,0.33678758,0.91492784,0.55,0.62,0.40789473,0.9734316,0.99999994,0.06930693,0.86567163,0.061338287,0.05849056,0.12180748,0.4800752,1.0,0.34129667,0.13
2022-01-01 02:00:00,0.3913043,0.0,0.4117648,0.12499997,0.048780486,0.6122449,0.9285714,0.81818175,0.9545454,0.47058824,1.0,0.74999994,0.9130435,0.02564103,0.33678758,0.93097925,0.55,0.62,0.40789473,0.95867145,0.99999994,0.06435644,0.9104477,0.061338287,0.05849056,0.12180748,0.48533842,1.0,0.30156216,0.15
2022-01-01 04:00:00,0.3913043,0.0,0.29411763,0.12499997,0.048780486,0.6122449,0.9285714,0.81818175,0.9545454,0.47058824,1.0,0.74999994,0.9130435,0.02564103,0.33678758,0.93097925,0.55,0.62,0.40789473,0.9826567,0.99999994,0.06435644,0.9104477,0.061338287,0.05849056,0.12180748,0.48383462,1.0,0.32656085,0.14
2022-01-01 06:00:00,0.3913043,0.0,0.29411763,0.12499997,0.048780486,0.6122449,0.9285714,0.81818175,0.9545454,0.47058824,1.0,0.74999994,0.9130435,0.02564103,0.33678758,0.93097925,0.55,0.62,0.40789473,0.98302567,0.99999994,0.06435644,0.9104477,0.061338287,0.05849056,0.12180748,0.48872185,1.0,0.31847206,0.13
2022-01-01 08:00:00,0.3913043,0.0,0.29411763,0.12499997,0.048780486,0.6122449,0.9285714,0.81818175,0.9545454,0.47058824,1.0,0.74999994,0.9130435,0.02564103,0.33678758,0.93097925,0.55,0.62,0.40789473,0.98302567,0.99999994,0.06435644,0.9104477,0.061338287,0.05849056,0.12180748,0.48872185,1.0,0.31388554,0.12
2022-01-01 10:00:00,0.3913043,0.0,0.29411763,0.12499997,0.048780486,0.6122449,0.9285714,0.81818175,0.9545454,0.47058824,1.0,0.74999994,0.9130435,0.02564103,0.33678758,0.93097925,0.55,0.62,0.40789473,0.9594095,0.99999994,0.06435644,0.9104477,0.061338287,0.05849056,0.12180748,0.5075188,1.0,0.3322826,0.1
2022-01-01 12:00:00,0.3913043,0.0,0.29411763,0.12499997,0.048780486,0.6122449,0.9285714,0.81818175,0.9545454,0.47058824,1.0,0.74999994,0.9130435,0.02564103,0.33678758,0.93097925,0.55,0.62,0.40789473,0.9594095,0.99999994,0.06435644,0.9104477,0.061338287,0.05849056,0.12180748,0.5075188,1.0,0.3228712,0.11
2022-01-01 14:00:00,0.3913043,0.0,0.29411763,0.12499997,0.048780486,0.6122449,0.9285714,0.81818175,0.9545454,0.47058824,1.0,0.74999994,0.9130435,0.02564103,0.33678758,0.93097925,0.55,0.62,0.40789473,0.8191881,0.99999994,0.06435644,0.9104477,0.061338287,0.05849056,0.12180748,0.50000006,1.0,0.31898293,0.1
2022-01-01 16:00:00,0.3913043,0.0,0.29411763,0.12499997,0.048780486,0.6122449,0.9285714,0.81818175,0.9545454,0.47058824,1.0,0.74999994,0.9130435,0.02564103,0.33678758,0.93097925,0.55,0.62,0.40789473,0.8191881,0.99999994,0.06435644,0.9104477,0.061338287,0.05849056,0.12180748,0.50000006,1.0,0.32631108,0.1
2022-01-01 18:00:00,0.3913043,0.0,0.29411763,0.12499997,0.048780486,0.6122449,0.9285714,0.81818175,0.9545454,0.47058824,1.0,0.74999994,0.9130435,0.02564103,0.33678758,0.93097925,0.55,0.62,0.40789473,0.8191881,0.99999994,0.06435644,0.9104477,0.061338287,0.05849056,0.12180748,0.50000006,1.0,0.32234898,0.14
